Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/2000,0,25,98
01/01/2000,1200,23,100
01/01/2000,1800,27.6,100
02/01/2000,0,24.3,99
02/01/2000,1200,23,100
02/01/2000,1800,26.4,100
03/01/2000,0,27.3,85
03/01/2000,1200,22.5,99
03/01/2000,1800,31,75
04/01/2000,0,27.6,89
04/01/2000,1200,24,97
04/01/2000,1800,32.2,68
05/01/2000,0,29,85
05/01/2000,1200,24,97
05/01/2000,1800,32.8,74
06/01/2000,0,23,99
06/01/2000,1200,22.5,100
06/01/2000,1800,29.3,72
07/01/2000,0,28,91
07/01/2000,1200,23.2,98
07/01/2000,1800,30.2,69
08/01/2000,0,27.4,91
08/01/2000,1200,23.5,97
08/01/2000,1800,32,69
09/01/2000,0,24,96
09/01/2000,1200,23.2,98
09/01/2000,1800,27.8,88
10/01/2000,0,23.2,98
10/01/2000,1200,22,100
10/01/2000,1800,27.2,87
11/01/2000,0,25.4,93
11/01/2000,1200,22.4,98
11/01/2000,1800,28.2,83
12/01/2000,0,26,96
12/01/2000,1200,23,98
12/01/2000,1800,29.5,77
13/01/2000,0,27.3,94
13/01/2000,1200,23.5,99
13/01/2000,1800,29.2,81
14/01/2000,0,26.6,90
14/01/2000,1200,23.5,98
14/01/2000,1800,27.7,87
15/01/2000,0,24.2,98
15/01/2000,1200,23.2,100
15/01/2000,1800,25.2,92
16/01/2000,0,22.7,98
16/01/2000,1200,22,98
16/01/2000,1800,25,93
17/01/2000,0,24.5,97
17/01/2000,1200,22.2,98
17/01/2000,1800,28.6,81
18/01/2000,0,24.4,97
18/01/2000,1200,23,100
18/01/2000,1800,29.2,74
19/01/2000,0,24,98
19/01/2000,1200,22.9,98
19/01/2000,1800,29,79
20/01/2000,0,22.5,96
20/01/2000,1200,22.6,99
20/01/2000,1800,31.5,72
21/01/2000,0,27.2,92
21/01/2000,1200,22.6,99
21/01/2000,1800,31,72
22/01/2000,0,25.5,96
22/01/2000,1200,23.5,97
22/01/2000,1800,32.2,65
23/01/2000,0,28.6,92
23/01/2000,1200,23,99
23/01/2000,1800,29,81
24/01/2000,0,24,96
24/01/2000,1200,22.2,98
24/01/2000,1800,31.5,72
25/01/2000,0,26.4,95
25/01/2000,1200,23.4,98
25/01/2000,1800,30.6,78
26/01/2000,0,26.5,88
26/01/2000,1200,23.9,97
26/01/2000,1800,23.5,98
27/01/2000,0,25,96
27/01/2000,1200,23.7,98
27/01/2000,1800,26.6,91
28/01/2000,0,25.5,96
28/01/2000,1200,23.2,98
28/01/2000,1800,26.5,88
29/01/2000,0,24.5,96
29/01/2000,1200,23.5,97
29/01/2000,1800,29.6,77
30/01/2000,0,26.7,90
30/01/2000,1200,23.5,97
30/01/2000,1800,28.9,82
31/01/2000,0,25.2,94
31/01/2000,1200,23.5,97
31/01/2000,1800,22.6,99
01/02/2000,0,22.6,100
01/02/2000,1200,22,100
01/02/2000,1800,27.5,84
02/02/2000,0,27,92
02/02/2000,1200,22.8,97
02/02/2000,1800,31.4,72
03/02/2000,0,29.2,84
03/02/2000,1200,23.6,98
03/02/2000,1800,30.7,71
04/02/2000,0,27.5,92
04/02/2000,1200,23.1,98
04/02/2000,1800,31.2,70
05/02/2000,0,26.5,84
05/02/2000,1200,23.7,98
05/02/2000,1800,28.6,84
06/02/2000,0,28,92
06/02/2000,1200,24.2,94
06/02/2000,1800,29.5,77
07/02/2000,0,24,97
07/02/2000,1200,23,100
07/02/2000,1800,30.5,75
08/02/2000,0,22.6,100
08/02/2000,1200,23.1,99
08/02/2000,1800,29,81
09/02/2000,0,27,90
09/02/2000,1200,23.9,91
09/02/2000,1800,30.5,77
10/02/2000,0,24.4,97
10/02/2000,1200,22.8,98
10/02/2000,1800,27.2,91
11/02/2000,0,23,98
11/02/2000,1200,22.5,100
11/02/2000,1800,28.3,86
12/02/2000,0,24.2,94
12/02/2000,1200,22.5,97
12/02/2000,1800,31,76
13/02/2000,0,26,92
13/02/2000,1200,23.4,96
13/02/2000,1800,31,74
14/02/2000,0,27,96
14/02/2000,1200,21.9,96
14/02/2000,1800,29.2,73
15/02/2000,0,26.5,92
15/02/2000,1200,22.6,99
15/02/2000,1800,25.8,89
16/02/2000,0,25,96
16/02/2000,1200,22.8,98
16/02/2000,1800,26.5,86
17/02/2000,0,22.8,97
17/02/2000,1200,22,100
17/02/2000,1800,27.5,96
18/02/2000,0,24,100
18/02/2000,1200,22.8,100
18/02/2000,1800,27,87
19/02/2000,0,23.6,100
19/02/2000,1200,21.8,99
19/02/2000,1800,24.2,95
20/02/2000,0,24.5,96
20/02/2000,1200,22.5,100
20/02/2000,1800,23.4,96
21/02/2000,0,23,97
21/02/2000,1200,22,100
21/02/2000,1800,27.6,83
22/02/2000,0,24.4,97
22/02/2000,1200,22.3,99
22/02/2000,1800,29.5,78
23/02/2000,0,27.2,91
23/02/2000,1200,23.5,99
23/02/2000,1800,24.4,93
24/02/2000,0,23.5,96
24/02/2000,1200,22,100
24/02/2000,1800,29.5,78
25/02/2000,0,23,100
25/02/2000,1200,22,100
25/02/2000,1800,30.6,72
26/02/2000,0,26.6,93
26/02/2000,1200,23.8,97
26/02/2000,1800,26.2,87
27/02/2000,0,24.8,93
27/02/2000,1200,23,98
27/02/2000,1800,30,77
28/02/2000,0,27,89
28/02/2000,1200,22.5,98
28/02/2000,1800,31,69
29/02/2000,0,23.6,97
29/02/2000,1200,22.7,98
29/02/2000,1800,29.4,75
01/03/2000,0,27,88
01/03/2000,1200,23,100
