Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/2000,0,24.8,84
01/01/2000,1200,29,61
01/01/2000,1800,29.4,56
02/01/2000,0,23,92
02/01/2000,1200,28.2,65
02/01/2000,1800,29.4,66
03/01/2000,0,25.2,81
03/01/2000,1200,24.8,84
03/01/2000,1800,27.8,71
04/01/2000,0,25.2,81
04/01/2000,1200,24.2,86
04/01/2000,1800,26.6,77
05/01/2000,0,23.6,87
05/01/2000,1200,24.6,87
05/01/2000,1800,26.8,72
06/01/2000,0,23.8,85
06/01/2000,1200,27.8,67
06/01/2000,1800,26.6,81
07/01/2000,0,23,92
07/01/2000,1200,26.2,68
07/01/2000,1800,28.2,57
08/01/2000,0,23.2,92
08/01/2000,1200,23.4,95
08/01/2000,1800,26.1,82
09/01/2000,0,23.6,87
09/01/2000,1200,26.6,78
09/01/2000,1800,27.1,77
10/01/2000,0,24.3,86
10/01/2000,1800,28.2,65
11/01/2000,0,25.4,80
11/01/2000,1200,26.8,72
11/01/2000,1800,27.6,71
12/01/2000,0,24.5,83
12/01/2000,1200,26.9,71
12/01/2000,1800,27.6,73
13/01/2000,0,23.8,89
13/01/2000,1200,27.2,73
13/01/2000,1800,28.9,65
14/01/2000,0,25.5,76
14/01/2000,1200,26.6,82
14/01/2000,1800,24.6,90
15/01/2000,0,22.8,92
15/01/2000,1200,27.8,71
15/01/2000,1800,28.8,67
16/01/2000,0,24.8,87
16/01/2000,1200,28.8,64
16/01/2000,1800,29.2,67
17/01/2000,0,25.6,76
17/01/2000,1200,26.1,82
17/01/2000,1800,29.1,65
18/01/2000,0,25.5,100
18/01/2000,1200,27.8,70
18/01/2000,1800,28.8,67
19/01/2000,0,25.7,74
19/01/2000,1200,28.4,64
19/01/2000,1800,29.6,63
20/01/2000,0,24.8,78
20/01/2000,1200,29.6,56
20/01/2000,1800,31,62
21/01/2000,0,26.2,76
21/01/2000,1200,29.6,60
21/01/2000,1800,29.8,65
22/01/2000,0,26.4,74
22/01/2000,1200,27.7,77
22/01/2000,1800,29,66
23/01/2000,0,25.8,75
23/01/2000,1200,27.8,73
23/01/2000,1800,29.1,67
24/01/2000,0,25.4,82
24/01/2000,1200,26.5,81
24/01/2000,1800,29,68
25/01/2000,0,25.2,84
25/01/2000,1200,27,64
25/01/2000,1800,32,51
26/01/2000,0,26.5,77
26/01/2000,1200,27.2,76
26/01/2000,1800,30,63
27/01/2000,0,26.5,74
27/01/2000,1200,28.6,66
27/01/2000,1800,31.6,57
28/01/2000,0,25.2,83
28/01/2000,1200,29.2,62
28/01/2000,1800,30.8,66
29/01/2000,0,25.2,83
29/01/2000,1200,27.4,62
29/01/2000,1800,30.4,62
30/01/2000,0,25.6,83
30/01/2000,1200,28.1,65
30/01/2000,1800,29.4,67
31/01/2000,0,25.2,82
31/01/2000,1200,29,67
31/01/2000,1800,29.8,67
01/02/2000,0,25,84
01/02/2000,1200,28.1,69
01/02/2000,1800,29.5,64
02/02/2000,0,25.8,75
02/02/2000,1200,27,75
02/02/2000,1800,29.6,65
03/02/2000,0,25.5,81
03/02/2000,1200,27.1,72
03/02/2000,1800,29.3,65
04/02/2000,0,26,80
04/02/2000,1200,29.6,59
04/02/2000,1800,30.2,67
05/02/2000,0,26.2,76
05/02/2000,1200,29,66
05/02/2000,1800,30.5,61
06/02/2000,0,26,80
06/02/2000,1200,29,68
06/02/2000,1800,29.9,66
07/02/2000,0,26.2,80
07/02/2000,1200,29.2,63
07/02/2000,1800,31.6,53
08/02/2000,0,25.8,77
08/02/2000,1200,28.8,62
08/02/2000,1800,30.6,63
09/02/2000,0,25.2,83
09/02/2000,1200,28.4,66
09/02/2000,1800,29.8,64
10/02/2000,0,25.7,78
10/02/2000,1200,24.2,88
10/02/2000,1800,28.4,59
11/02/2000,0,25.4,80
11/02/2000,1200,27.5,71
11/02/2000,1800,29.2,59
12/02/2000,0,26,76
12/02/2000,1200,28.2,65
12/02/2000,1800,29.4,65
13/02/2000,0,26.2,75
13/02/2000,1200,27,72
13/02/2000,1800,27.6,72
14/02/2000,0,26.2,74
14/02/2000,1800,27.8,75
15/02/2000,0,25,84
15/02/2000,1200,24,93
15/02/2000,1800,26.2,86
16/02/2000,0,23.3,87
16/02/2000,1200,23.4,95
16/02/2000,1800,26.6,81
17/02/2000,0,24.6,78
17/02/2000,1200,23.2,91
17/02/2000,1800,28.8,60
18/02/2000,0,24.8,80
18/02/2000,1200,26.6,74
18/02/2000,1800,28.7,63
19/02/2000,0,25.5,81
19/02/2000,1200,27.4,67
19/02/2000,1800,28,58
20/02/2000,0,24,85
20/02/2000,1200,28.4,64
20/02/2000,1800,30.2,67
21/02/2000,0,24.2,86
21/02/2000,1200,28.4,62
21/02/2000,1800,30,66
22/02/2000,0,25.2,79
22/02/2000,1200,26.8,68
22/02/2000,1800,30,70
23/02/2000,0,24.8,86
23/02/2000,1200,24.4,92
23/02/2000,1800,26.2,75
24/02/2000,0,23.9,83
24/02/2000,1200,26.8,64
24/02/2000,1800,27.8,62
25/02/2000,0,24.8,76
25/02/2000,1200,27.5,67
25/02/2000,1800,28.7,64
26/02/2000,0,25.5,78
26/02/2000,1200,26.8,70
26/02/2000,1800,29.2,74
27/02/2000,0,24.2,85
27/02/2000,1200,28.6,64
27/02/2000,1800,29.4,67
28/02/2000,0,24.6,83
28/02/2000,1200,28,64
28/02/2000,1800,29,59
29/02/2000,0,24,82
29/02/2000,1200,28.4,66
29/02/2000,1800,29.5,64
01/03/2000,0,24.2,85
01/03/2000,1200,26.4,80
01/03/2000,1800,26.6,81
02/03/2000,0,24.2,85
02/03/2000,1200,25.2,78
02/03/2000,1800,29.4,66
03/03/2000,0,25.4,77
03/03/2000,1200,25.6,74
03/03/2000,1800,26.2,78
04/03/2000,0,24.6,80
04/03/2000,1200,27.8,68
04/03/2000,1800,28.8,70
05/03/2000,0,25,84
05/03/2000,1200,27.8,60
05/03/2000,1800,28.8,60
06/03/2000,0,24.4,83
06/03/2000,1200,26,78
06/03/2000,1800,27.8,67
07/03/2000,0,23.6,86
07/03/2000,1200,25.6,79
07/03/2000,1800,26.6,67
08/03/2000,0,22.8,85
08/03/2000,1200,28.2,60
08/03/2000,1800,28.2,61
09/03/2000,0,24.2,85
09/03/2000,1200,27.4,74
09/03/2000,1800,29,60
10/03/2000,0,24.4,81
10/03/2000,1200,28.4,61
10/03/2000,1800,29.2,70
11/03/2000,0,25.2,79
