Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,28.2,83
01/01/1999,1200,27,89
01/01/1999,1800,30.2,83
02/01/1999,0,27,88
02/01/1999,1200,25.8,94
02/01/1999,1800,30.8,75
03/01/1999,0,26.8,89
03/01/1999,1200,27.2,91
03/01/1999,1800,30,83
04/01/1999,0,27.4,87
04/01/1999,1200,24,98
04/01/1999,1800,31,82
05/01/1999,0,29.6,80
05/01/1999,1200,23.6,98
05/01/1999,1800,26,92
06/01/1999,0,24,97
06/01/1999,1200,24.2,97
06/01/1999,1800,27.2,92
07/01/1999,0,23.2,98
07/01/1999,1200,24,98
07/01/1999,1800,28.6,90
08/01/1999,0,27,97
08/01/1999,1200,25.8,95
08/01/1999,1800,25.6,95
09/01/1999,0,23.8,98
09/01/1999,1200,25,97
09/01/1999,1800,30.6,81
10/01/1999,0,26.2,100
10/01/1999,1200,24.6,97
10/01/1999,1800,29.4,84
11/01/1999,0,22,98
11/01/1999,1200,24.8,95
11/01/1999,1800,29.2,84
12/01/1999,0,26,94
12/01/1999,1200,25.6,91
12/01/1999,1800,30.2,86
13/01/1999,0,24.8,97
13/01/1999,1200,24.6,95
13/01/1999,1800,30.5,79
14/01/1999,0,26.4,88
14/01/1999,1200,25.2,95
14/01/1999,1800,31.2,85
15/01/1999,0,27.4,94
15/01/1999,1200,24,95
15/01/1999,1800,25.4,94
16/01/1999,0,24.6,97
16/01/1999,1200,24.8,95
16/01/1999,1800,25.2,94
17/01/1999,0,23.8,98
17/01/1999,1200,24.6,94
17/01/1999,1800,22.8,95
18/01/1999,0,23.6,97
18/01/1999,1200,24,95
18/01/1999,1800,30.2,85
19/01/1999,0,26.4,92
19/01/1999,1200,23.8,95
19/01/1999,1800,28,93
20/01/1999,0,27,88
20/01/1999,1200,25.2,98
20/01/1999,1800,28,91
21/01/1999,0,26,95
21/01/1999,1200,25.6,97
21/01/1999,1800,30.4,93
22/01/1999,0,25.6,97
22/01/1999,1200,25.6,92
22/01/1999,1800,31,86
