Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,27,79
01/01/1999,1200,29.6,65
01/01/1999,1800,31,64
02/01/1999,0,27.2,75
02/01/1999,1200,28.3,71
02/01/1999,1800,30.4,63
03/01/1999,0,27.3,76
03/01/1999,1200,29,68
03/01/1999,1800,30.4,61
04/01/1999,0,26.6,79
04/01/1999,1200,29.2,71
04/01/1999,1800,30.7,62
05/01/1999,0,27.4,78
05/01/1999,1200,29.8,62
05/01/1999,1800,30.7,61
06/01/1999,0,27,77
06/01/1999,1200,28.8,66
06/01/1999,1800,30,61
07/01/1999,0,26.7,79
07/01/1999,1200,29,64
07/01/1999,1800,28.6,72
08/01/1999,0,26.7,80
08/01/1999,1200,29.2,67
08/01/1999,1800,29.3,55
09/01/1999,0,27.2,81
09/01/1999,1200,24.4,87
09/01/1999,1800,29.4,63
10/01/1999,0,26,82
10/01/1999,1200,28.5,70
10/01/1999,1800,30.2,63
11/01/1999,0,27.1,82
11/01/1999,1200,28.5,73
11/01/1999,1800,30.4,61
12/01/1999,0,26.4,81
12/01/1999,1200,29.4,68
12/01/1999,1800,30,66
13/01/1999,0,26.6,83
13/01/1999,1200,28.2,68
13/01/1999,1800,30,72
14/01/1999,0,26.8,83
14/01/1999,1200,29,68
14/01/1999,1800,30.6,59
15/01/1999,0,26.6,82
15/01/1999,1200,28.2,72
15/01/1999,1800,31,59
16/01/1999,0,27,79
16/01/1999,1200,26.8,81
16/01/1999,1800,30.7,60
17/01/1999,0,27.2,75
17/01/1999,1200,29.7,64
17/01/1999,1800,31.4,60
18/01/1999,0,26.8,84
18/01/1999,1200,27.8,76
18/01/1999,1800,28.4,72
19/01/1999,0,26.4,83
19/01/1999,1200,28,72
19/01/1999,1800,30,59
20/01/1999,0,26.1,82
20/01/1999,1200,27.1,82
20/01/1999,1800,30.2,66
21/01/1999,0,26.3,81
21/01/1999,1200,26.2,91
21/01/1999,1800,27.2,78
22/01/1999,0,25.6,88
22/01/1999,1200,28.5,71
22/01/1999,1800,29.6,68
23/01/1999,0,26.5,81
23/01/1999,1200,27.2,82
23/01/1999,1800,30.1,70
24/01/1999,0,27.1,80
24/01/1999,1200,28.2,78
24/01/1999,1800,31,59
25/01/1999,0,27.2,79
25/01/1999,1200,25.8,92
25/01/1999,1800,30.4,63
26/01/1999,0,27.1,77
26/01/1999,1200,29.2,67
26/01/1999,1800,29.9,66
27/01/1999,0,26.6,78
27/01/1999,1200,28.3,75
27/01/1999,1800,29.8,64
28/01/1999,0,26.4,78
28/01/1999,1200,28.2,72
28/01/1999,1800,31.4,57
29/01/1999,0,27,80
29/01/1999,1200,29.9,70
29/01/1999,1800,30.9,64
30/01/1999,0,27.6,83
30/01/1999,1200,29.4,73
30/01/1999,1800,30.6,68
31/01/1999,0,27.6,80
31/01/1999,1200,29,72
31/01/1999,1800,30.6,64
01/02/1999,0,27.4,78
01/02/1999,1200,29.1,70
01/02/1999,1800,31.1,62
02/02/1999,0,27.3,82
02/02/1999,1200,30,64
02/02/1999,1800,31.7,56
03/02/1999,0,27.6,80
03/02/1999,1200,29.6,66
03/02/1999,1800,31.1,60
04/02/1999,0,27.2,82
04/02/1999,1200,24.8,90
04/02/1999,1800,28.9,67
05/02/1999,0,26.8,85
05/02/1999,1200,28.8,71
05/02/1999,1800,28.8,68
06/02/1999,0,27.4,76
06/02/1999,1200,27.8,78
06/02/1999,1800,29.5,65
07/02/1999,0,26.7,80
07/02/1999,1200,28.7,73
07/02/1999,1800,30.4,63
08/02/1999,0,26.6,83
08/02/1999,1200,28,76
08/02/1999,1800,30,66
09/02/1999,0,27.2,79
09/02/1999,1200,29,66
09/02/1999,1800,30.3,63
10/02/1999,0,27.2,77
10/02/1999,1200,29.8,64
10/02/1999,1800,31.2,56
11/02/1999,0,27.2,78
11/02/1999,1200,29.1,66
11/02/1999,1800,31.7,52
12/02/1999,0,27.2,77
12/02/1999,1200,27.9,86
12/02/1999,1800,30.7,64
13/02/1999,0,26.7,84
13/02/1999,1200,28.6,76
13/02/1999,1800,31.9,58
14/02/1999,0,28,75
14/02/1999,1200,29.6,64
14/02/1999,1800,31.2,57
15/02/1999,0,27.9,78
15/02/1999,1200,29.7,64
15/02/1999,1800,30.8,59
16/02/1999,0,27.7,79
16/02/1999,1200,27.7,80
16/02/1999,1800,31.4,56
17/02/1999,0,27.6,78
17/02/1999,1200,27.8,81
17/02/1999,1800,30.9,60
18/02/1999,0,27.8,80
18/02/1999,1200,25.8,94
18/02/1999,1800,28.5,77
19/02/1999,0,26.4,88
19/02/1999,1200,29.6,63
19/02/1999,1800,30.3,63
20/02/1999,0,26.6,83
20/02/1999,1200,25.8,91
20/02/1999,1800,30.3,64
21/02/1999,0,27.1,79
21/02/1999,1200,28.3,71
21/02/1999,1800,30.8,63
22/02/1999,0,27.4,80
22/02/1999,1200,23.6,95
22/02/1999,1800,28.1,74
23/02/1999,0,25.8,91
23/02/1999,1200,27.2,88
23/02/1999,1800,24.2,96
24/02/1999,0,24.9,97
24/02/1999,1200,25.8,93
24/02/1999,1800,28.7,69
25/02/1999,0,25.9,89
25/02/1999,1200,25.2,95
25/02/1999,1800,28.8,74
26/02/1999,0,25.8,91
26/02/1999,1200,26.5,92
26/02/1999,1800,29,72
27/02/1999,0,26.7,88
27/02/1999,1200,25.6,88
27/02/1999,1800,29.3,73
28/02/1999,0,27.4,85
28/02/1999,1200,25.6,94
28/02/1999,1800,28.9,74
01/03/1999,0,26.6,86
01/03/1999,1200,27.1,87
01/03/1999,1800,28.6,77
02/03/1999,0,25.7,91
02/03/1999,1200,27.6,83
02/03/1999,1800,29.4,74
03/03/1999,0,25.8,92
03/03/1999,1200,25.6,91
03/03/1999,1800,26.6,89
04/03/1999,0,25.6,92
04/03/1999,1200,28.3,79
04/03/1999,1800,29.3,73
05/03/1999,0,26.6,86
05/03/1999,1200,28.4,81
05/03/1999,1800,29,72
06/03/1999,0,26.2,86
06/03/1999,1200,27.6,85
06/03/1999,1800,29.8,70
07/03/1999,0,26.8,82
07/03/1999,1200,28,80
07/03/1999,1800,30.5,68
08/03/1999,0,26.8,84
08/03/1999,1200,24.2,95
08/03/1999,1800,29.8,70
09/03/1999,0,27.4,82
09/03/1999,1200,27.6,76
09/03/1999,1800,30.4,66
10/03/1999,0,27.2,81
10/03/1999,1200,28.6,73
10/03/1999,1800,30,63
11/03/1999,0,26.8,82
11/03/1999,1200,26.8,92
11/03/1999,1800,30.3,63
12/03/1999,0,27.1,85
12/03/1999,1200,28.8,77
12/03/1999,1800,29.2,72
13/03/1999,0,24.6,95
13/03/1999,1200,26.2,89
13/03/1999,1800,28.8,73
14/03/1999,0,25,91
14/03/1999,1200,27.8,82
14/03/1999,1800,28.8,74
15/03/1999,0,25,92
15/03/1999,1200,25.2,92
15/03/1999,1800,29,72
16/03/1999,0,25.8,89
