Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,19.7,89
01/01/1999,1200,19.2,92
01/01/1999,1800,22.1,76
02/01/1999,0,20.4,90
02/01/1999,1200,23.2,72
02/01/1999,1800,26.7,59
03/01/1999,0,22,86
03/01/1999,1200,22.3,80
03/01/1999,1800,20.3,87
04/01/1999,0,19.3,92
04/01/1999,1200,21.4,76
04/01/1999,1800,24,70
05/01/1999,0,20.9,81
05/01/1999,1200,20.7,80
05/01/1999,1800,24.1,61
06/01/1999,0,20.5,87
06/01/1999,1200,19.7,91
06/01/1999,1800,23,66
07/01/1999,0,19,91
07/01/1999,1200,20.8,81
07/01/1999,1800,24.8,65
08/01/1999,0,19.1,90
08/01/1999,1200,22.5,72
08/01/1999,1800,27.8,51
09/01/1999,0,21,84
09/01/1999,1200,25.2,62
09/01/1999,1800,28,46
10/01/1999,0,22.9,67
10/01/1999,1200,23.8,59
10/01/1999,1800,27,45
11/01/1999,0,22.1,63
11/01/1999,1200,19.8,87
11/01/1999,1800,20.8,85
12/01/1999,0,18.7,93
12/01/1999,1200,23.2,70
12/01/1999,1800,19.1,93
13/01/1999,0,19.1,89
13/01/1999,1200,20,84
13/01/1999,1800,25.3,66
14/01/1999,0,19.7,94
14/01/1999,1200,21.7,80
14/01/1999,1800,24.8,68
15/01/1999,0,18.5,97
15/01/1999,1200,21.3,75
15/01/1999,1800,25.3,59
16/01/1999,0,20.5,81
16/01/1999,1200,23.7,70
16/01/1999,1800,27,56
17/01/1999,0,20.5,88
17/01/1999,1200,24.7,71
17/01/1999,1800,27.1,63
18/01/1999,0,21.3,78
18/01/1999,1200,24,64
18/01/1999,1800,27.6,46
19/01/1999,0,23.1,60
19/01/1999,1200,24.7,57
19/01/1999,1800,28.5,43
20/01/1999,0,23.9,59
20/01/1999,1200,25,60
20/01/1999,1800,28.9,45
21/01/1999,0,24.6,50
21/01/1999,1200,26.2,52
21/01/1999,1800,27.8,45
22/01/1999,0,18,81
22/01/1999,1200,23.7,63
22/01/1999,1800,26,49
23/01/1999,0,23.3,63
23/01/1999,1200,24.5,65
23/01/1999,1800,28.7,40
24/01/1999,0,23.9,57
24/01/1999,1200,24.1,61
24/01/1999,1800,29.1,38
25/01/1999,0,23.8,61
25/01/1999,1200,24.6,60
25/01/1999,1800,28.5,43
26/01/1999,0,24.2,63
26/01/1999,1200,25.5,62
26/01/1999,1800,28.3,47
27/01/1999,0,20.8,81
27/01/1999,1200,22.5,80
27/01/1999,1800,24,71
28/01/1999,0,21.4,84
28/01/1999,1200,20.7,91
28/01/1999,1800,26.5,54
29/01/1999,0,20.8,83
29/01/1999,1200,18.4,94
29/01/1999,1800,23.7,70
30/01/1999,0,20.7,82
30/01/1999,1200,22.5,73
30/01/1999,1800,25.8,56
31/01/1999,0,20.6,87
31/01/1999,1200,22.3,79
31/01/1999,1800,26.4,53
01/02/1999,0,19.9,87
01/02/1999,1200,21.2,83
01/02/1999,1800,27.6,51
02/02/1999,0,23.3,67
02/02/1999,1200,24.7,66
02/02/1999,1800,28.8,40
