Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,26.3,80
01/01/1999,1200,28.2,64
01/01/1999,1800,29.3,62
02/01/1999,0,25.8,81
02/01/1999,1200,28.6,64
02/01/1999,1800,28.6,71
03/01/1999,0,26.4,76
03/01/1999,1200,27.8,74
03/01/1999,1800,29.9,71
04/01/1999,0,24.4,96
04/01/1999,1200,25.1,94
04/01/1999,1800,25.3,95
05/01/1999,0,24.4,98
05/01/1999,1200,26.2,84
05/01/1999,1800,29,71
06/01/1999,0,26.3,76
06/01/1999,1200,28.4,63
06/01/1999,1800,30.8,65
07/01/1999,0,26.2,80
07/01/1999,1200,29.7,66
07/01/1999,1800,30.2,63
08/01/1999,0,25.8,84
08/01/1999,1200,29.1,54
08/01/1999,1800,30.7,54
09/01/1999,0,25.8,83
09/01/1999,1200,28.2,64
09/01/1999,1800,29.4,61
10/01/1999,0,25.9,75
10/01/1999,1200,27.3,69
10/01/1999,1800,29.3,67
11/01/1999,0,26.1,74
11/01/1999,1200,27.8,67
11/01/1999,1800,29.8,61
12/01/1999,0,25.8,75
12/01/1999,1200,26.6,70
12/01/1999,1800,29.3,61
13/01/1999,0,26.3,76
13/01/1999,1200,28.8,64
13/01/1999,1800,29.8,66
14/01/1999,0,27.2,78
14/01/1999,1200,28.8,60
14/01/1999,1800,31.4,62
15/01/1999,0,26.9,75
15/01/1999,1200,28.3,67
15/01/1999,1800,31.6,61
16/01/1999,0,26.8,72
16/01/1999,1200,29.8,56
16/01/1999,1800,31.8,57
17/01/1999,0,26.8,72
17/01/1999,1200,28.8,56
17/01/1999,1800,30.9,55
18/01/1999,0,26.2,76
18/01/1999,1200,28.3,64
18/01/1999,1800,29.8,69
19/01/1999,0,26.8,77
19/01/1999,1200,29.4,61
19/01/1999,1800,31.6,61
20/01/1999,0,26.9,75
20/01/1999,1200,29.2,66
20/01/1999,1800,32.4,60
21/01/1999,0,27.3,76
21/01/1999,1200,30.8,60
21/01/1999,1800,32.4,59
22/01/1999,0,26.8,80
22/01/1999,1200,30.2,57
22/01/1999,1800,30.7,52
23/01/1999,0,27.2,78
23/01/1999,1200,29.8,62
23/01/1999,1800,31.6,58
24/01/1999,0,27.8,78
24/01/1999,1200,29.2,71
24/01/1999,1800,27.3,77
25/01/1999,0,26.3,80
25/01/1999,1200,25,92
25/01/1999,1800,28.2,75
26/01/1999,0,26.3,82
26/01/1999,1200,29,71
26/01/1999,1800,30.2,67
27/01/1999,0,26.9,83
27/01/1999,1200,29.8,61
27/01/1999,1800,32,54
28/01/1999,0,27.6,68
28/01/1999,1200,28.8,64
28/01/1999,1800,29.7,69
29/01/1999,0,27.3,78
29/01/1999,1200,29,64
29/01/1999,1800,35.4,46
30/01/1999,0,29.1,66
30/01/1999,1200,30.3,66
30/01/1999,1800,31.8,61
31/01/1999,0,27.8,74
31/01/1999,1200,29.2,59
