Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,23.9,80
01/01/1999,1200,26.4,74
01/01/1999,1800,24.4,82
02/01/1999,0,22.7,83
02/01/1999,1200,24,80
02/01/1999,1800,30,56
03/01/1999,0,26.4,76
03/01/1999,1200,24.9,81
03/01/1999,1800,26,74
04/01/1999,0,20.7,91
04/01/1999,1200,22.6,82
04/01/1999,1800,26.9,67
05/01/1999,0,23.1,87
05/01/1999,1200,23.7,80
05/01/1999,1800,27.8,66
06/01/1999,0,23.6,83
06/01/1999,1200,23,86
06/01/1999,1800,28,57
07/01/1999,0,23,82
07/01/1999,1200,23.3,83
07/01/1999,1800,27.6,62
08/01/1999,0,22.8,88
08/01/1999,1200,23.3,82
08/01/1999,1800,30.2,49
09/01/1999,0,26,71
09/01/1999,1200,26.8,76
09/01/1999,1800,30.4,54
10/01/1999,0,22.3,83
10/01/1999,1200,25.2,71
10/01/1999,1800,33,43
11/01/1999,0,27.6,60
11/01/1999,1200,27.4,56
11/01/1999,1800,27,70
12/01/1999,0,25.2,65
12/01/1999,1200,25.4,75
12/01/1999,1800,29.7,55
13/01/1999,0,23,85
13/01/1999,1200,24.4,77
13/01/1999,1800,28.6,59
14/01/1999,0,22.6,90
14/01/1999,1200,24.6,79
14/01/1999,1800,28.4,61
15/01/1999,0,21.2,93
15/01/1999,1200,23,82
15/01/1999,1800,27.3,70
16/01/1999,0,23.8,83
16/01/1999,1200,24.8,77
16/01/1999,1800,31.4,50
17/01/1999,0,24,81
17/01/1999,1200,25.3,77
17/01/1999,1800,31.2,51
18/01/1999,0,25.1,66
18/01/1999,1200,27.5,68
18/01/1999,1800,33,41
19/01/1999,0,28.4,52
19/01/1999,1200,27.5,56
19/01/1999,1800,33.3,36
20/01/1999,0,28.8,49
20/01/1999,1200,28.6,50
20/01/1999,1800,33.6,36
21/01/1999,0,29.7,52
21/01/1999,1200,28.3,51
21/01/1999,1800,35.1,36
22/01/1999,0,25.4,62
22/01/1999,1200,26.6,62
22/01/1999,1800,22.4,88
23/01/1999,0,21.7,91
23/01/1999,1200,25.2,71
23/01/1999,1800,33.9,38
24/01/1999,0,27,63
24/01/1999,1200,28.2,58
24/01/1999,1800,33.4,38
25/01/1999,0,29,52
25/01/1999,1200,27.6,56
25/01/1999,1800,33.7,36
26/01/1999,0,29,59
26/01/1999,1200,28.3,62
26/01/1999,1800,25.8,78
27/01/1999,0,21.3,79
27/01/1999,1200,23.2,82
27/01/1999,1800,32.2,44
28/01/1999,0,27.2,69
28/01/1999,1200,23.4,80
28/01/1999,1800,31.1,50
29/01/1999,0,23,76
29/01/1999,1200,22.8,83
29/01/1999,1800,28.1,58
30/01/1999,0,25.3,74
30/01/1999,1200,25,78
30/01/1999,1800,29,57
31/01/1999,0,26.2,69
31/01/1999,1200,25.9,76
31/01/1999,1800,29,57
01/02/1999,0,24.2,80
01/02/1999,1200,24.7,75
01/02/1999,1800,30.4,56
02/02/1999,0,26,80
02/02/1999,1200,26.5,73
02/02/1999,1800,31.6,46
03/02/1999,0,22.8,79
03/02/1999,1200,23.9,81
03/02/1999,1800,25.3,81
04/02/1999,0,23.4,82
04/02/1999,1200,25.1,74
04/02/1999,1800,28.5,65
05/02/1999,0,25.4,78
05/02/1999,1200,25,62
05/02/1999,1800,32.6,39
06/02/1999,0,27.8,65
06/02/1999,1200,26.6,68
06/02/1999,1800,33.4,40
07/02/1999,0,23.5,77
07/02/1999,1200,25.4,72
07/02/1999,1800,29.6,52
08/02/1999,0,22.6,78
08/02/1999,1200,23.1,78
08/02/1999,1800,30.6,48
09/02/1999,0,25.2,72
09/02/1999,1200,25,74
09/02/1999,1800,31.9,47
10/02/1999,0,24.6,69
10/02/1999,1200,26.3,68
10/02/1999,1800,32.8,43
11/02/1999,0,24.3,82
11/02/1999,1200,28.2,66
11/02/1999,1800,31.7,47
12/02/1999,0,25.6,74
12/02/1999,1200,27.2,68
12/02/1999,1800,26.8,66
13/02/1999,0,24.3,79
13/02/1999,1200,20.2,93
13/02/1999,1800,27,62
14/02/1999,0,26,71
14/02/1999,1200,24,81
14/02/1999,1800,32.6,46
15/02/1999,0,24,79
15/02/1999,1200,26.8,65
15/02/1999,1800,33.2,38
16/02/1999,0,29,55
16/02/1999,1200,27.2,54
16/02/1999,1800,33.4,35
17/02/1999,0,29.2,52
17/02/1999,1200,26.2,60
17/02/1999,1800,33.2,41
18/02/1999,0,27.8,58
18/02/1999,1200,26.2,59
18/02/1999,1800,32.4,42
19/02/1999,0,28.8,60
19/02/1999,1200,23.6,79
19/02/1999,1800,28.2,62
20/02/1999,0,25.4,77
20/02/1999,1200,22.8,75
20/02/1999,1800,30.1,50
21/02/1999,0,24.5,77
21/02/1999,1200,22.7,83
21/02/1999,1800,28.9,54
22/02/1999,0,21.2,95
22/02/1999,1200,23,85
22/02/1999,1800,28.8,59
23/02/1999,0,20.9,94
23/02/1999,1200,22.2,83
23/02/1999,1800,27.2,64
24/02/1999,0,24.4,80
24/02/1999,1200,24.4,81
24/02/1999,1800,30.6,53
25/02/1999,0,23.9,83
25/02/1999,1200,22.8,86
25/02/1999,1800,26.4,77
26/02/1999,0,22.5,94
26/02/1999,1200,22.4,84
26/02/1999,1800,22.4,86
27/02/1999,0,21.5,92
27/02/1999,1200,22.6,85
27/02/1999,1800,28.6,59
28/02/1999,0,22.3,92
28/02/1999,1200,24.3,81
28/02/1999,1800,29.6,49
01/03/1999,0,21.8,90
01/03/1999,1200,23.2,83
01/03/1999,1800,21.6,90
02/03/1999,0,20.9,93
02/03/1999,1200,22,86
02/03/1999,1800,25.1,76
03/03/1999,0,22.8,88
03/03/1999,1200,21.4,93
03/03/1999,1800,24.1,81
04/03/1999,0,22.4,84
04/03/1999,1200,23,84
04/03/1999,1800,28,62
05/03/1999,0,24.6,78
05/03/1999,1200,23,92
05/03/1999,1800,28.8,58
06/03/1999,0,23.2,84
06/03/1999,1200,22.8,84
06/03/1999,1800,29.4,54
07/03/1999,0,24,81
07/03/1999,1200,23,84
07/03/1999,1800,27.4,59
08/03/1999,0,23.6,78
08/03/1999,1200,23.4,79
08/03/1999,1800,24.6,76
09/03/1999,0,23.8,76
09/03/1999,1200,25.8,70
09/03/1999,1800,31,48
10/03/1999,0,25.9,70
10/03/1999,1200,24.8,74
10/03/1999,1800,32.6,33
11/03/1999,0,27.4,64
11/03/1999,1200,24.8,77
11/03/1999,1800,23.8,77
12/03/1999,0,20.4,91
12/03/1999,1200,24,73
12/03/1999,1800,31.5,44
13/03/1999,0,27.4,57
13/03/1999,1200,24.1,76
13/03/1999,1800,31.1,43
14/03/1999,0,25.4,71
14/03/1999,1200,21.8,92
14/03/1999,1800,29.2,59
15/03/1999,0,25.6,74
15/03/1999,1200,24.2,78
15/03/1999,1800,28.4,60
16/03/1999,0,24.8,78
16/03/1999,1200,23.8,83
16/03/1999,1800,27.8,66
17/03/1999,0,21.1,94
17/03/1999,1200,22.4,86
17/03/1999,1800,29.4,53
18/03/1999,0,23.5,82
18/03/1999,1200,22.7,81
18/03/1999,1800,26.6,69
19/03/1999,0,23.4,76
19/03/1999,1200,23.4,82
19/03/1999,1800,30,54
20/03/1999,0,24.2,83
20/03/1999,1200,26.5,67
20/03/1999,1800,31.3,42
21/03/1999,0,26.5,62
21/03/1999,1200,24.8,74
21/03/1999,1800,28.8,54
22/03/1999,0,24.2,76
22/03/1999,1200,26,68
22/03/1999,1800,31.8,47
23/03/1999,0,26.2,70
23/03/1999,1200,25.8,83
23/03/1999,1800,23.8,82
24/03/1999,0,23.2,81
24/03/1999,1200,24.8,74
24/03/1999,1800,31.8,45
25/03/1999,0,23,89
25/03/1999,1200,22.2,90
25/03/1999,1800,29.8,57
26/03/1999,0,22.8,86
26/03/1999,1200,27.4,65
26/03/1999,1800,32.4,48
27/03/1999,0,25.6,69
27/03/1999,1200,26.8,67
27/03/1999,1800,33.6,40
28/03/1999,0,28.2,62
28/03/1999,1200,25.6,69
28/03/1999,1800,33.2,46
29/03/1999,0,26.9,67
29/03/1999,1200,26.4,74
29/03/1999,1800,28.6,62
30/03/1999,0,25.6,75
30/03/1999,1200,26.6,72
30/03/1999,1800,33,49
31/03/1999,0,27.8,74
31/03/1999,1200,25.5,78
31/03/1999,1800,33.2,42
01/04/1999,0,27.4,57
01/04/1999,1200,27.2,55
01/04/1999,1800,32.4,42
02/04/1999,0,27.4,56
02/04/1999,1200,25.9,56
02/04/1999,1800,30.7,51
03/04/1999,0,26.9,61
03/04/1999,1200,26.4,66
03/04/1999,1800,31.6,46
04/04/1999,0,26.8,61
04/04/1999,1200,25.6,65
04/04/1999,1800,32.6,40
05/04/1999,0,27.4,60
05/04/1999,1200,27.5,60
05/04/1999,1800,32.7,42
06/04/1999,0,26.9,63
06/04/1999,1200,26.8,64
06/04/1999,1800,33.2,40
07/04/1999,0,28.4,57
07/04/1999,1200,26.4,67
07/04/1999,1800,32.5,41
08/04/1999,0,28.1,61
08/04/1999,1200,27.6,62
08/04/1999,1800,30.5,49
09/04/1999,0,23.8,75
09/04/1999,1200,25.3,67
09/04/1999,1800,31.6,47
10/04/1999,0,26,68
10/04/1999,1200,26.1,67
10/04/1999,1800,31.2,45
11/04/1999,0,25.9,64
11/04/1999,1200,25.4,61
11/04/1999,1800,31.6,42
12/04/1999,0,26.3,59
12/04/1999,1200,25.6,58
12/04/1999,1800,31,41
13/04/1999,0,27.3,60
13/04/1999,1200,24.4,69
13/04/1999,1800,32,43
14/04/1999,0,26.1,60
14/04/1999,1200,25.9,65
14/04/1999,1800,27.2,60
15/04/1999,0,24.6,73
15/04/1999,1200,26.1,70
15/04/1999,1800,29.4,55
16/04/1999,0,24.4,76
16/04/1999,1200,23.2,78
16/04/1999,1800,23.3,84
17/04/1999,0,21.1,93
17/04/1999,1200,17.5,90
17/04/1999,1800,18.2,80
18/04/1999,0,17.8,75
18/04/1999,1200,15.5,62
18/04/1999,1800,23,56
19/04/1999,0,20,62
19/04/1999,1200,21,54
19/04/1999,1800,29.8,54
20/04/1999,0,24.7,66
20/04/1999,1200,21.8,69
20/04/1999,1800,30.9,48
21/04/1999,0,21.8,87
21/04/1999,1200,25.6,67
21/04/1999,1800,31.8,45
22/04/1999,0,25.1,74
22/04/1999,1200,26.3,66
22/04/1999,1800,32.8,40
23/04/1999,0,27.2,60
23/04/1999,1200,25.3,64
23/04/1999,1800,31.6,43
24/04/1999,0,23.8,72
24/04/1999,1200,24.2,66
24/04/1999,1800,31.5,40
25/04/1999,0,25.2,63
25/04/1999,1200,24.4,66
25/04/1999,1800,31.2,39
26/04/1999,0,25.8,57
26/04/1999,1200,25.4,63
26/04/1999,1800,30.2,43
27/04/1999,0,25.6,53
27/04/1999,1200,24.2,60
27/04/1999,1800,31.2,31
28/04/1999,0,25,50
28/04/1999,1200,22.2,57
28/04/1999,1800,29.6,35
29/04/1999,0,24.4,55
29/04/1999,1200,22.1,65
29/04/1999,1800,28.4,49
30/04/1999,0,23.9,66
30/04/1999,1200,24.4,61
30/04/1999,1800,28.9,46
01/05/1999,0,25.2,56
01/05/1999,1200,23.6,63
01/05/1999,1800,30.6,42
02/05/1999,0,25,61
02/05/1999,1200,24.1,60
02/05/1999,1800,29.6,41
03/05/1999,0,24.2,55
03/05/1999,1200,24.3,63
03/05/1999,1800,30.6,40
04/05/1999,0,25.9,58
04/05/1999,1200,26,59
04/05/1999,1800,30.8,43
05/05/1999,0,21.2,93
05/05/1999,1200,23.3,73
05/05/1999,1800,31.1,43
06/05/1999,0,23.6,68
06/05/1999,1200,23.6,65
06/05/1999,1800,29.8,48
07/05/1999,0,22.5,79
07/05/1999,1200,21.2,90
07/05/1999,1800,25.9,74
08/05/1999,0,22.2,81
08/05/1999,1200,19,84
08/05/1999,1800,27,57
09/05/1999,0,22.8,64
09/05/1999,1200,22.6,61
09/05/1999,1800,30.4,47
10/05/1999,0,23.2,79
10/05/1999,1200,22.3,76
10/05/1999,1800,25.3,66
11/05/1999,0,19.3,92
11/05/1999,1200,22.5,74
11/05/1999,1800,28.9,50
12/05/1999,0,23.6,70
12/05/1999,1200,22.4,76
12/05/1999,1800,29.3,47
13/05/1999,0,22.6,72
13/05/1999,1200,22.4,67
13/05/1999,1800,28.2,46
14/05/1999,0,22.3,64
14/05/1999,1200,21.4,61
14/05/1999,1800,28.3,43
15/05/1999,0,22.6,53
15/05/1999,1200,20.3,66
15/05/1999,1800,27.9,45
16/05/1999,0,22.4,65
16/05/1999,1200,22.2,55
16/05/1999,1800,26.9,46
17/05/1999,0,22.6,63
17/05/1999,1200,22.5,57
17/05/1999,1800,28.2,41
18/05/1999,0,22.6,63
18/05/1999,1200,22.2,59
18/05/1999,1800,30,35
19/05/1999,0,22.4,61
19/05/1999,1200,20.7,66
19/05/1999,1800,29.8,33
20/05/1999,0,22.6,60
20/05/1999,1200,20,68
20/05/1999,1800,27,46
21/05/1999,0,20.7,53
21/05/1999,1200,17.2,56
21/05/1999,1800,26.4,38
22/05/1999,0,18.2,64
22/05/1999,1200,17.1,51
22/05/1999,1800,28.7,34
23/05/1999,0,19.5,65
23/05/1999,1200,18,68
23/05/1999,1800,30,36
24/05/1999,0,21.6,62
24/05/1999,1200,19.6,71
24/05/1999,1800,30.2,32
25/05/1999,0,22.6,53
25/05/1999,1200,21.7,54
25/05/1999,1800,31.2,35
26/05/1999,0,22.7,64
26/05/1999,1200,22.4,62
26/05/1999,1800,30.2,34
27/05/1999,0,23,62
27/05/1999,1200,21.8,65
27/05/1999,1800,30.5,36
28/05/1999,0,24,54
28/05/1999,1200,24.3,62
28/05/1999,1800,30.6,34
29/05/1999,0,24.6,56
29/05/1999,1200,23.2,63
29/05/1999,1800,31.6,39
30/05/1999,0,25.4,59
30/05/1999,1200,21.8,71
30/05/1999,1800,28,53
31/05/1999,0,22,70
31/05/1999,1200,14.6,70
31/05/1999,1800,24.9,33
01/06/1999,0,19.1,45
01/06/1999,1200,17.9,61
01/06/1999,1800,30.4,38
02/06/1999,0,23.4,55
02/06/1999,1200,23.4,62
02/06/1999,1800,32,41
03/06/1999,0,24,71
03/06/1999,1200,22.7,68
03/06/1999,1800,29.4,45
04/06/1999,0,20.4,92
04/06/1999,1200,24,68
04/06/1999,1800,28.7,48
05/06/1999,0,23,67
05/06/1999,1200,20.6,71
05/06/1999,1800,21.2,90
06/06/1999,0,22.6,61
06/06/1999,1200,20.6,68
06/06/1999,1800,30.8,37
07/06/1999,0,22.8,67
07/06/1999,1200,19.9,74
07/06/1999,1800,30.8,36
08/06/1999,0,23,68
08/06/1999,1200,22.4,59
08/06/1999,1800,30,38
09/06/1999,0,23,57
09/06/1999,1200,22.9,57
09/06/1999,1800,28.1,42
10/06/1999,0,22.6,57
10/06/1999,1200,22,65
10/06/1999,1800,28.8,37
11/06/1999,0,22,68
11/06/1999,1200,21.6,66
11/06/1999,1800,30.3,35
12/06/1999,0,23.8,54
12/06/1999,1200,22.5,63
12/06/1999,1800,30.2,38
13/06/1999,0,25.3,54
13/06/1999,1200,24,58
13/06/1999,1800,29.6,41
14/06/1999,0,24.3,60
14/06/1999,1200,20.6,68
14/06/1999,1800,29.8,40
