Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/2000,0,24.3,96
01/01/2000,1200,27.2,87
01/01/2000,1800,30.2,72
02/01/2000,0,25.8,80
02/01/2000,1200,28.6,76
02/01/2000,1800,28,77
03/01/2000,0,25.6,84
03/01/2000,1200,27.2,88
03/01/2000,1800,29.4,78
04/01/2000,0,26.2,89
04/01/2000,1200,24.2,90
04/01/2000,1800,28.8,72
05/01/2000,0,25,87
05/01/2000,1200,28,81
05/01/2000,1800,25.8,85
06/01/2000,0,23.6,90
06/01/2000,1200,26,94
06/01/2000,1800,28.8,76
07/01/2000,0,25.2,87
07/01/2000,1200,25.2,92
07/01/2000,1800,28.4,77
08/01/2000,0,25,90
08/01/2000,1200,24.8,93
08/01/2000,1800,24.2,91
09/01/2000,0,24.2,90
09/01/2000,1200,25.4,92
09/01/2000,1800,25,85
10/01/2000,0,23.5,90
10/01/2000,1200,26.6,82
10/01/2000,1800,27.6,78
11/01/2000,0,24.8,90
11/01/2000,1200,28,83
11/01/2000,1800,28.4,79
12/01/2000,0,25.6,87
12/01/2000,1200,26.6,86
12/01/2000,1800,28.8,76
13/01/2000,0,26,91
13/01/2000,1200,27.8,78
13/01/2000,1800,28,85
14/01/2000,0,25.8,85
14/01/2000,1200,27,87
14/01/2000,1800,29.2,76
15/01/2000,0,23.4,97
15/01/2000,1200,28,80
15/01/2000,1800,28.2,79
16/01/2000,0,25.6,89
16/01/2000,1200,24.4,97
16/01/2000,1800,29.8,72
17/01/2000,0,25.2,94
17/01/2000,1200,28,77
17/01/2000,1800,29.6,71
18/01/2000,0,25.2,92
18/01/2000,1200,27,89
18/01/2000,1800,26,88
19/01/2000,0,24.9,94
19/01/2000,1200,28.6,75
19/01/2000,1800,30.2,68
20/01/2000,0,26.4,85
20/01/2000,1200,27.6,81
20/01/2000,1800,28,78
21/01/2000,0,25.6,87
21/01/2000,1200,26.6,92
21/01/2000,1800,29.5,73
22/01/2000,0,25,94
22/01/2000,1200,27.8,84
22/01/2000,1800,29.4,76
23/01/2000,0,25.6,88
23/01/2000,1200,27.5,85
23/01/2000,1800,28,85
24/01/2000,0,25.8,88
24/01/2000,1200,26.6,92
24/01/2000,1800,27,84
25/01/2000,0,25.2,91
25/01/2000,1200,28,77
25/01/2000,1800,30,70
26/01/2000,0,25.6,80
26/01/2000,1200,28,77
26/01/2000,1800,30.2,71
27/01/2000,0,25.6,84
27/01/2000,1200,29,80
27/01/2000,1800,29.8,73
28/01/2000,0,26,88
28/01/2000,1200,28,80
28/01/2000,1800,29.6,75
29/01/2000,0,26.4,81
29/01/2000,1200,28.4,77
29/01/2000,1800,31,67
30/01/2000,0,26.5,82
30/01/2000,1200,28.2,81
30/01/2000,1800,32,60
31/01/2000,0,26.2,88
31/01/2000,1200,28.8,68
31/01/2000,1800,30.8,64
01/02/2000,0,26.6,79
01/02/2000,1200,28.8,80
01/02/2000,1800,26.8,89
02/02/2000,0,25,92
02/02/2000,1200,27.2,88
02/02/2000,1800,29.8,75
03/02/2000,0,25.8,94
03/02/2000,1200,28.2,81
03/02/2000,1800,30.4,71
04/02/2000,0,25.8,82
04/02/2000,1200,27.6,81
04/02/2000,1800,30.5,73
05/02/2000,0,26.6,85
05/02/2000,1200,27.8,84
05/02/2000,1800,30.4,72
06/02/2000,0,26.2,92
06/02/2000,1200,28,78
06/02/2000,1800,30.6,74
07/02/2000,0,26.8,76
07/02/2000,1200,27,85
07/02/2000,1800,28.2,85
08/02/2000,0,25.8,95
08/02/2000,1200,26.2,89
08/02/2000,1800,28.6,75
09/02/2000,0,24.8,94
09/02/2000,1200,27.2,95
09/02/2000,1800,27,90
10/02/2000,0,25.4,90
10/02/2000,1200,28,78
10/02/2000,1800,31,66
11/02/2000,0,25.4,88
11/02/2000,1200,28.4,76
11/02/2000,1800,29.8,68
12/02/2000,0,25.8,86
12/02/2000,1200,24,98
12/02/2000,1800,29,73
13/02/2000,0,25.8,92
13/02/2000,1200,25.4,97
13/02/2000,1800,25,94
14/02/2000,0,24.2,95
14/02/2000,1200,24.2,94
14/02/2000,1800,29.6,70
15/02/2000,0,24.6,87
15/02/2000,1200,23,97
15/02/2000,1800,26.6,84
16/02/2000,0,23.4,85
16/02/2000,1200,26,88
16/02/2000,1800,29.8,70
17/02/2000,0,25.6,85
17/02/2000,1200,27.2,82
17/02/2000,1800,28.6,77
18/02/2000,0,26.1,90
18/02/2000,1200,26.2,91
18/02/2000,1800,29.2,70
19/02/2000,0,23.6,90
19/02/2000,1200,25.8,88
19/02/2000,1800,30.4,71
20/02/2000,0,24.4,85
20/02/2000,1200,25.8,92
20/02/2000,1800,26.4,91
21/02/2000,0,24.2,97
21/02/2000,1200,23.6,97
21/02/2000,1800,30,69
22/02/2000,0,25.6,82
22/02/2000,1200,27.6,82
22/02/2000,1800,28.8,79
23/02/2000,0,24.8,90
23/02/2000,1200,26.2,86
23/02/2000,1800,27.6,80
24/02/2000,0,25,95
24/02/2000,1200,25,94
24/02/2000,1800,28.5,76
25/02/2000,0,24.8,85
25/02/2000,1200,26.2,92
25/02/2000,1800,29.4,75
26/02/2000,0,25,85
26/02/2000,1200,27.2,87
26/02/2000,1800,27,88
27/02/2000,0,24.8,94
27/02/2000,1200,27.6,85
27/02/2000,1800,30,76
28/02/2000,0,23.8,92
28/02/2000,1200,25.5,98
28/02/2000,1800,29.6,75
29/02/2000,0,25.8,85
29/02/2000,1200,27,84
29/02/2000,1800,28.8,79
01/03/2000,0,25.2,94
01/03/2000,1200,25.5,90
01/03/2000,1800,30.2,76
02/03/2000,0,25.6,85
02/03/2000,1200,25.4,95
02/03/2000,1800,28.4,80
03/03/2000,0,24.6,85
03/03/2000,1200,24.8,97
03/03/2000,1800,29.2,76
04/03/2000,0,25.5,91
04/03/2000,1200,26.2,88
04/03/2000,1800,28.6,72
05/03/2000,0,24.8,85
05/03/2000,1200,28.2,84
05/03/2000,1800,30.4,73
06/03/2000,0,25.8,85
06/03/2000,1200,25.4,91
06/03/2000,1800,27,85
07/03/2000,0,23,90
07/03/2000,1200,25,92
07/03/2000,1800,29.2,74
08/03/2000,0,24.6,90
08/03/2000,1200,28.4,81
08/03/2000,1800,30,75
09/03/2000,0,25.2,92
09/03/2000,1200,27.2,89
09/03/2000,1800,29.8,75
10/03/2000,0,25,96
10/03/2000,1200,26,92
10/03/2000,1800,29.6,79
11/03/2000,0,25.4,90
11/03/2000,1200,26.4,89
11/03/2000,1800,30.4,76
12/03/2000,0,25.6,85
12/03/2000,1200,28,85
12/03/2000,1800,30.2,72
13/03/2000,0,26,90
13/03/2000,1200,27.2,88
13/03/2000,1800,29.8,73
14/03/2000,0,25.2,90
14/03/2000,1200,24.2,95
14/03/2000,1800,28.4,79
15/03/2000,0,25.4,90
15/03/2000,1200,24.6,94
15/03/2000,1800,28.2,79
16/03/2000,0,25.8,88
16/03/2000,1200,28,84
16/03/2000,1800,29.8,75
17/03/2000,0,25.8,87
17/03/2000,1200,27.4,90
17/03/2000,1800,24.6,92
18/03/2000,0,25,97
18/03/2000,1200,28,85
18/03/2000,1800,23.2,95
19/03/2000,0,23.2,97
19/03/2000,1200,22.4,98
19/03/2000,1800,29.6,69
20/03/2000,0,23.8,97
20/03/2000,1200,26.6,89
20/03/2000,1800,30.8,72
21/03/2000,0,25.4,92
21/03/2000,1200,27.4,85
21/03/2000,1800,30,74
22/03/2000,0,25.8,88
22/03/2000,1200,27.2,87
22/03/2000,1800,28,86
23/03/2000,0,24.8,92
23/03/2000,1200,29,79
23/03/2000,1800,29.6,74
24/03/2000,0,25.4,91
24/03/2000,1200,25.2,95
24/03/2000,1800,29.6,75
25/03/2000,0,24,90
25/03/2000,1200,28,84
25/03/2000,1800,28.6,88
26/03/2000,0,23.6,92
26/03/2000,1200,27.6,90
