Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,21.1,91
01/01/1999,1200,21.5,85
01/01/1999,1800,19.9,94
02/01/1999,0,19.7,97
02/01/1999,1200,21.4,89
02/01/1999,1800,21.4,88
03/01/1999,0,21.5,93
03/01/1999,1200,20.9,95
03/01/1999,1800,27.7,61
04/01/1999,0,22.1,89
04/01/1999,1200,23,87
04/01/1999,1800,23.7,84
05/01/1999,0,21.1,96
05/01/1999,1200,21.6,87
05/01/1999,1800,23.5,89
06/01/1999,0,22,93
06/01/1999,1200,21.2,91
06/01/1999,1800,27.1,64
07/01/1999,0,20.1,95
07/01/1999,1200,23.1,83
07/01/1999,1800,24.6,84
08/01/1999,0,23.5,81
08/01/1999,1200,24.9,76
08/01/1999,1800,31,44
09/01/1999,0,25.7,59
09/01/1999,1200,25.7,68
09/01/1999,1800,29.7,48
10/01/1999,0,25.6,64
10/01/1999,1200,23.2,72
10/01/1999,1800,27.1,57
11/01/1999,0,24.3,61
11/01/1999,1200,23.2,63
11/01/1999,1800,27.5,49
12/01/1999,0,23.7,54
12/01/1999,1200,23.4,65
12/01/1999,1800,28.6,38
13/01/1999,0,23.9,63
13/01/1999,1200,24.5,67
13/01/1999,1800,28.3,43
14/01/1999,0,25.4,51
14/01/1999,1200,25.7,65
14/01/1999,1800,30.4,42
15/01/1999,0,24.3,67
15/01/1999,1200,21.9,85
15/01/1999,1800,25.8,66
16/01/1999,0,24.1,72
16/01/1999,1200,26.9,66
16/01/1999,1800,30.3,46
17/01/1999,0,25.8,66
17/01/1999,1200,26.9,60
17/01/1999,1800,31.1,41
18/01/1999,0,27.3,40
18/01/1999,1200,26.1,56
18/01/1999,1800,31.2,28
19/01/1999,0,26,44
19/01/1999,1200,25.9,53
19/01/1999,1800,31.9,23
20/01/1999,0,27.6,39
20/01/1999,1200,28.3,49
20/01/1999,1800,32.7,34
21/01/1999,0,24.8,49
21/01/1999,1200,29.3,48
21/01/1999,1800,32.9,35
22/01/1999,0,28.5,46
22/01/1999,1200,26.7,59
22/01/1999,1800,31.6,37
23/01/1999,0,27.5,44
23/01/1999,1200,25,62
23/01/1999,1800,29.8,44
24/01/1999,0,26.8,46
24/01/1999,1200,24.5,68
24/01/1999,1800,28.7,52
25/01/1999,0,23.2,79
25/01/1999,1200,23.5,70
25/01/1999,1800,28.3,49
26/01/1999,0,25.4,59
26/01/1999,1200,25.3,66
26/01/1999,1800,29.3,49
27/01/1999,0,25.7,66
27/01/1999,1200,20.9,88
27/01/1999,1800,27.4,60
28/01/1999,0,24.5,65
28/01/1999,1200,19.9,85
28/01/1999,1800,26.9,60
29/01/1999,0,19.9,93
29/01/1999,1200,22.8,68
29/01/1999,1800,20.9,93
30/01/1999,0,21.7,79
30/01/1999,1200,25,72
30/01/1999,1800,28.9,51
31/01/1999,0,25.1,68
31/01/1999,1200,24.5,75
31/01/1999,1800,28.1,61
01/02/1999,0,24.9,70
01/02/1999,1200,24.9,57
01/02/1999,1800,30.9,39
02/02/1999,0,27.1,54
02/02/1999,1200,26.5,48
02/02/1999,1800,31.1,38
03/02/1999,0,26.9,48
03/02/1999,1200,24.1,68
03/02/1999,1800,29.5,46
04/02/1999,0,26.1,61
04/02/1999,1200,25.9,65
04/02/1999,1800,30.5,35
05/02/1999,0,26.7,41
05/02/1999,1200,25.7,64
05/02/1999,1800,29.2,49
06/02/1999,0,25.6,60
06/02/1999,1200,25.3,56
06/02/1999,1800,27.9,47
07/02/1999,0,25.3,59
07/02/1999,1200,24.8,58
07/02/1999,1800,25.9,56
08/02/1999,0,24.1,59
08/02/1999,1200,24,55
08/02/1999,1800,28.8,44
09/02/1999,0,26,56
09/02/1999,1200,25.9,52
09/02/1999,1800,31.2,41
10/02/1999,0,27.7,52
10/02/1999,1200,27.7,57
10/02/1999,1800,30.4,42
11/02/1999,0,27.3,56
11/02/1999,1200,28.5,54
11/02/1999,1800,32.3,39
12/02/1999,0,26.1,60
12/02/1999,1200,24.3,64
12/02/1999,1800,28.9,46
13/02/1999,0,24.3,70
13/02/1999,1200,25.1,63
13/02/1999,1800,29,52
14/02/1999,0,24.7,64
14/02/1999,1200,24.5,67
14/02/1999,1800,29.7,48
15/02/1999,0,25.7,58
15/02/1999,1200,25.8,61
15/02/1999,1800,30.5,41
16/02/1999,0,26.1,55
16/02/1999,1200,24.9,67
16/02/1999,1800,28.7,47
17/02/1999,0,25.8,52
17/02/1999,1200,24.6,67
17/02/1999,1800,28.1,50
18/02/1999,0,24.7,65
18/02/1999,1200,24.2,67
18/02/1999,1800,27.7,49
19/02/1999,0,25.1,60
19/02/1999,1200,24.6,66
19/02/1999,1800,30.1,42
20/02/1999,0,25.1,60
20/02/1999,1200,24.7,58
20/02/1999,1800,29.5,36
21/02/1999,0,25,55
21/02/1999,1200,23.5,64
21/02/1999,1800,28.7,43
22/02/1999,0,25.2,57
22/02/1999,1200,24.1,61
22/02/1999,1800,20.7,94
23/02/1999,0,22.4,84
23/02/1999,1200,22.8,72
23/02/1999,1800,22.9,76
24/02/1999,0,21.6,79
24/02/1999,1200,22.8,73
24/02/1999,1800,27.2,56
25/02/1999,0,21.2,87
25/02/1999,1200,22.7,76
25/02/1999,1800,20.3,91
26/02/1999,0,21.4,84
26/02/1999,1200,21,91
26/02/1999,1800,22,83
27/02/1999,0,20.7,95
27/02/1999,1200,22.9,81
27/02/1999,1800,23.2,76
28/02/1999,0,19.9,97
28/02/1999,1200,22.1,82
28/02/1999,1800,22.9,77
01/03/1999,0,21.1,91
01/03/1999,1200,20.3,94
