Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,29,79
01/01/1999,1200,27.8,81
01/01/1999,1800,32.4,70
02/01/1999,0,29,78
02/01/1999,1200,26.2,92
02/01/1999,1800,32,67
03/01/1999,0,24.8,95
03/01/1999,1200,26.2,90
03/01/1999,1800,31.4,70
04/01/1999,0,27.2,92
04/01/1999,1200,24.4,93
04/01/1999,1800,28.6,81
05/01/1999,0,27.5,81
05/01/1999,1200,25.8,89
05/01/1999,1800,28.4,80
06/01/1999,0,26.6,89
06/01/1999,1200,24.3,90
06/01/1999,1800,30.8,68
07/01/1999,0,26.4,88
07/01/1999,1200,25.2,91
07/01/1999,1800,30.4,72
08/01/1999,0,26.8,87
08/01/1999,1200,26.9,88
08/01/1999,1800,31.5,71
09/01/1999,0,25.8,89
09/01/1999,1200,26,87
09/01/1999,1800,31.2,71
10/01/1999,0,25.8,95
10/01/1999,1200,25.9,94
10/01/1999,1800,31.5,72
11/01/1999,0,25.7,86
11/01/1999,1200,26.6,86
11/01/1999,1800,29.8,76
12/01/1999,0,24.8,93
12/01/1999,1200,24.4,92
12/01/1999,1800,32.8,75
13/01/1999,0,25.2,96
13/01/1999,1200,27.2,89
13/01/1999,1800,28.6,89
14/01/1999,0,25.6,95
14/01/1999,1200,25.6,87
14/01/1999,1800,31,76
15/01/1999,0,23.4,97
15/01/1999,1200,24.8,96
15/01/1999,1800,29.6,83
16/01/1999,0,24,99
16/01/1999,1200,25.6,88
16/01/1999,1800,30,75
17/01/1999,0,26.2,87
17/01/1999,1200,26,89
17/01/1999,1800,31.2,69
18/01/1999,0,28,83
18/01/1999,1200,28.6,77
18/01/1999,1800,33.4,59
19/01/1999,0,29.4,75
19/01/1999,1200,28.2,77
19/01/1999,1800,34.4,61
20/01/1999,0,27.8,79
20/01/1999,1200,28,81
20/01/1999,1800,35.2,58
21/01/1999,0,26.4,79
21/01/1999,1200,27,81
21/01/1999,1800,30.1,59
22/01/1999,0,23.1,95
22/01/1999,1200,23.2,94
22/01/1999,1800,32.6,59
23/01/1999,0,23.4,93
23/01/1999,1200,26.4,84
23/01/1999,1800,34.2,56
24/01/1999,0,29.8,72
24/01/1999,1200,27.4,81
24/01/1999,1800,34.6,59
25/01/1999,0,28.8,77
25/01/1999,1200,27.6,83
25/01/1999,1800,35.1,56
26/01/1999,0,26.6,81
26/01/1999,1200,25.1,88
26/01/1999,1800,30.8,76
27/01/1999,0,27.2,85
27/01/1999,1200,27.9,82
27/01/1999,1800,32.7,61
28/01/1999,0,25.6,82
28/01/1999,1200,29.2,76
28/01/1999,1800,34.4,57
29/01/1999,0,27.2,98
29/01/1999,1200,25.4,88
29/01/1999,1800,33.2,64
30/01/1999,0,26.2,95
30/01/1999,1200,23.8,96
30/01/1999,1800,30.6,83
31/01/1999,0,28.4,92
31/01/1999,1200,27.2,89
31/01/1999,1800,25.2,89
01/02/1999,0,23.4,97
01/02/1999,1200,25,94
01/02/1999,1800,32.2,64
02/02/1999,0,28.4,88
02/02/1999,1200,28.4,82
02/02/1999,1800,32.4,79
03/02/1999,0,28.3,84
03/02/1999,1200,26.2,85
03/02/1999,1800,32.6,65
04/02/1999,0,25.4,88
04/02/1999,1200,29.4,81
04/02/1999,1800,24.2,92
05/02/1999,0,24,97
05/02/1999,1200,24.6,97
05/02/1999,1800,33.4,60
06/02/1999,0,27.4,89
06/02/1999,1200,26.4,87
06/02/1999,1800,33.2,62
07/02/1999,0,29,82
07/02/1999,1200,28.2,75
07/02/1999,1800,29.4,76
08/02/1999,0,25,89
08/02/1999,1200,25,97
08/02/1999,1800,30.4,73
09/02/1999,0,26,83
09/02/1999,1200,25.2,91
09/02/1999,1800,32,60
10/02/1999,0,28.6,83
10/02/1999,1200,26.8,84
10/02/1999,1800,32,60
11/02/1999,0,29,82
11/02/1999,1200,28.2,84
11/02/1999,1800,29.4,67
12/02/1999,0,25.6,85
12/02/1999,1200,26.2,85
12/02/1999,1800,34.8,50
13/02/1999,0,24.8,86
13/02/1999,1200,25.8,88
13/02/1999,1800,34.4,58
14/02/1999,0,26,85
14/02/1999,1200,25.7,88
14/02/1999,1800,34.6,55
15/02/1999,0,26.2,82
15/02/1999,1200,27,78
15/02/1999,1800,35,59
16/02/1999,0,26.6,79
16/02/1999,1200,27.2,80
16/02/1999,1800,34.8,58
17/02/1999,0,28,74
17/02/1999,1200,27.6,79
17/02/1999,1800,28,87
18/02/1999,0,23,95
18/02/1999,1200,26.2,87
18/02/1999,1800,33.8,64
19/02/1999,0,28.2,75
19/02/1999,1200,27.4,83
19/02/1999,1800,33.4,68
20/02/1999,0,27.6,76
20/02/1999,1200,28,87
20/02/1999,1800,27.4,84
21/02/1999,0,26.6,83
21/02/1999,1200,26.4,91
21/02/1999,1800,33.2,73
22/02/1999,0,25.2,96
22/02/1999,1200,27.4,87
22/02/1999,1800,33,74
23/02/1999,0,27,87
23/02/1999,1200,25.4,90
23/02/1999,1800,31.6,51
24/02/1999,0,27.4,92
24/02/1999,1200,25.6,87
24/02/1999,1800,26.8,90
25/02/1999,0,26.2,96
25/02/1999,1200,27,88
25/02/1999,1800,30.8,86
26/02/1999,0,27.2,97
26/02/1999,1200,26.4,90
26/02/1999,1800,31.6,79
27/02/1999,0,26,94
27/02/1999,1200,25.8,88
27/02/1999,1800,31,77
28/02/1999,0,26.8,89
28/02/1999,1200,26.2,90
28/02/1999,1800,30.4,77
01/03/1999,0,26.4,93
01/03/1999,1200,26.4,90
01/03/1999,1800,31.4,74
02/03/1999,0,26.6,86
02/03/1999,1200,26,87
02/03/1999,1800,30,72
03/03/1999,0,26,91
03/03/1999,1200,26.2,87
03/03/1999,1800,25.4,97
04/03/1999,0,23.4,98
04/03/1999,1200,24.4,97
04/03/1999,1800,30.6,75
05/03/1999,0,24.6,93
05/03/1999,1200,24.8,95
05/03/1999,1800,29.4,76
06/03/1999,0,26.6,91
06/03/1999,1200,24.6,94
06/03/1999,1800,23.6,95
07/03/1999,0,23.2,97
07/03/1999,1200,24.2,96
07/03/1999,1800,26.2,69
08/03/1999,0,24,97
08/03/1999,1200,24.2,94
08/03/1999,1800,29.6,76
09/03/1999,0,25.2,92
09/03/1999,1200,24.6,93
09/03/1999,1800,29.6,82
10/03/1999,0,25,96
10/03/1999,1200,25.8,91
10/03/1999,1800,32.8,66
11/03/1999,0,25.6,90
11/03/1999,1200,25.2,92
11/03/1999,1800,31.4,73
12/03/1999,0,26,92
12/03/1999,1200,24.8,95
12/03/1999,1800,31.8,72
13/03/1999,0,29.3,84
13/03/1999,1200,27.4,86
13/03/1999,1800,32.2,72
14/03/1999,0,24.8,95
14/03/1999,1200,24.2,94
14/03/1999,1800,31,79
15/03/1999,0,27.4,87
15/03/1999,1200,26.2,92
15/03/1999,1800,24.6,93
16/03/1999,0,25.2,95
16/03/1999,1200,24.8,93
16/03/1999,1800,31.6,74
17/03/1999,0,23.4,97
17/03/1999,1200,24.4,92
17/03/1999,1800,31.6,72
18/03/1999,0,24.6,93
18/03/1999,1200,25.2,92
18/03/1999,1800,30.4,71
19/03/1999,0,26.2,89
19/03/1999,1200,25.2,91
19/03/1999,1800,30.6,73
20/03/1999,0,23.8,96
20/03/1999,1200,27.2,89
20/03/1999,1800,31.4,68
21/03/1999,0,26.2,87
21/03/1999,1200,29.4,61
21/03/1999,1800,27.8,81
22/03/1999,0,26.4,91
22/03/1999,1200,24.2,88
22/03/1999,1800,31,71
23/03/1999,0,27.4,86
23/03/1999,1200,26.6,91
23/03/1999,1800,32.7,72
24/03/1999,0,27.6,90
24/03/1999,1200,26.6,92
24/03/1999,1800,25,96
25/03/1999,0,23.8,99
25/03/1999,1200,24.6,92
25/03/1999,1800,30.2,84
26/03/1999,0,25.4,90
26/03/1999,1200,25.8,89
26/03/1999,1800,34,70
27/03/1999,0,26.6,88
27/03/1999,1200,25.6,91
27/03/1999,1800,34.7,64
28/03/1999,0,27.6,79
28/03/1999,1200,27.4,86
28/03/1999,1800,34,67
29/03/1999,0,29.2,89
29/03/1999,1200,28.4,86
29/03/1999,1800,34,69
30/03/1999,0,29.8,81
30/03/1999,1200,25.6,91
30/03/1999,1800,32.6,70
31/03/1999,0,24.9,88
31/03/1999,1200,24.8,95
31/03/1999,1800,32.2,76
01/04/1999,0,28.2,88
01/04/1999,1200,23.6,92
01/04/1999,1800,33.6,82
02/04/1999,0,26.2,96
03/04/1999,0,27.6,95
03/04/1999,1200,27.2,92
03/04/1999,1800,33.2,69
04/04/1999,0,26.8,93
04/04/1999,1200,26,94
04/04/1999,1800,32,67
05/04/1999,0,26.6,89
05/04/1999,1200,25,92
05/04/1999,1800,34.4,54
06/04/1999,0,27.7,84
06/04/1999,1200,26.4,94
06/04/1999,1800,35.2,56
07/04/1999,0,26.4,80
07/04/1999,1200,24.6,93
07/04/1999,1800,34.8,59
08/04/1999,0,27.9,74
08/04/1999,1200,25.4,87
08/04/1999,1800,28.9,70
09/04/1999,0,26.2,86
09/04/1999,1200,25,96
09/04/1999,1800,32.2,71
10/04/1999,0,25.5,92
10/04/1999,1200,24.1,97
10/04/1999,1800,33.7,64
11/04/1999,0,24.2,92
11/04/1999,1200,25.4,93
11/04/1999,1800,32.4,68
12/04/1999,0,25.1,85
12/04/1999,1200,23.2,96
12/04/1999,1800,30.6,76
13/04/1999,0,23.4,98
13/04/1999,1200,24,96
13/04/1999,1800,30.8,68
14/04/1999,0,26.4,91
14/04/1999,1200,25.6,88
14/04/1999,1800,33.4,60
15/04/1999,0,26.4,82
15/04/1999,1200,26.2,87
15/04/1999,1800,33.7,64
16/04/1999,0,26.2,81
16/04/1999,1200,24.8,96
16/04/1999,1800,25,95
17/04/1999,0,18,93
17/04/1999,1200,15,85
17/04/1999,1800,19,69
18/04/1999,0,16.6,77
18/04/1999,1200,15.6,80
18/04/1999,1800,22.6,57
19/04/1999,1200,18,72
19/04/1999,1800,26,58
20/04/1999,0,22,76
20/04/1999,1200,20,84
20/04/1999,1800,29.2,60
21/04/1999,0,24.2,94
21/04/1999,1200,22.2,86
21/04/1999,1800,32.4,62
22/04/1999,0,26.4,80
22/04/1999,1200,25.4,84
22/04/1999,1800,33.8,61
23/04/1999,0,24.4,90
23/04/1999,1200,25.2,83
23/04/1999,1800,33.8,65
24/04/1999,0,25.8,77
24/04/1999,1200,25.2,87
24/04/1999,1800,33.6,62
25/04/1999,0,27.2,82
25/04/1999,1200,25,92
25/04/1999,1800,34,62
26/04/1999,0,27,84
26/04/1999,1200,25.2,86
26/04/1999,1800,33.8,67
27/04/1999,0,29,86
27/04/1999,1200,23.8,96
27/04/1999,1800,28.4,82
28/04/1999,0,26.4,91
28/04/1999,1200,24.4,97
28/04/1999,1800,30,81
29/04/1999,0,25.2,95
29/04/1999,1200,23.8,96
29/04/1999,1800,31.8,66
30/04/1999,0,25.7,90
30/04/1999,1200,24.2,89
30/04/1999,1800,32.2,64
01/05/1999,0,27,81
01/05/1999,1200,24.4,97
01/05/1999,1800,33.5,65
02/05/1999,0,27.7,81
02/05/1999,1200,25.4,91
02/05/1999,1800,33.8,64
03/05/1999,0,27,89
03/05/1999,1200,24.3,88
03/05/1999,1800,34.6,58
04/05/1999,0,28,78
04/05/1999,1200,25.3,89
04/05/1999,1800,33.8,66
05/05/1999,0,25.4,88
05/05/1999,1200,25.6,85
05/05/1999,1800,32.8,65
06/05/1999,0,28.4,80
06/05/1999,1200,26.6,86
06/05/1999,1800,32.2,71
07/05/1999,0,27.2,91
07/05/1999,1200,25,94
07/05/1999,1800,31.6,75
08/05/1999,0,24.8,95
08/05/1999,1200,23.4,97
08/05/1999,1800,30.4,70
09/05/1999,0,24.6,93
09/05/1999,1200,21.2,87
09/05/1999,1800,30.8,63
10/05/1999,0,24.6,82
10/05/1999,1200,21.2,93
10/05/1999,1800,31.4,68
11/05/1999,0,25.8,82
11/05/1999,1200,23.6,87
11/05/1999,1800,31.8,63
12/05/1999,0,26.4,82
12/05/1999,1200,23.6,83
12/05/1999,1800,31.8,61
13/05/1999,0,25.8,88
13/05/1999,1200,23.4,88
13/05/1999,1800,28.4,77
14/05/1999,0,23.8,86
14/05/1999,1200,21.8,88
14/05/1999,1800,30,66
15/05/1999,0,23.2,89
15/05/1999,1200,22,91
15/05/1999,1800,30.6,66
16/05/1999,0,24,84
16/05/1999,1200,22.6,85
16/05/1999,1800,32,61
17/05/1999,0,24.6,90
17/05/1999,1200,20.4,95
17/05/1999,1800,32.2,55
18/05/1999,0,24.8,80
18/05/1999,1200,20.9,87
18/05/1999,1800,32.2,58
19/05/1999,0,25.7,80
19/05/1999,1200,21.6,90
19/05/1999,1800,30.6,68
20/05/1999,0,25,86
20/05/1999,1200,20.5,90
20/05/1999,1800,27.2,72
21/05/1999,0,21.9,85
21/05/1999,1200,17.7,82
21/05/1999,1800,26,62
22/05/1999,0,20.1,79
22/05/1999,1200,15.1,90
22/05/1999,1800,26.1,66
23/05/1999,0,24.6,89
23/05/1999,1200,16.6,91
23/05/1999,1800,26.8,61
24/05/1999,0,22.8,81
24/05/1999,1200,20.6,84
24/05/1999,1800,32.1,63
25/05/1999,0,25,88
25/05/1999,1200,22.4,87
25/05/1999,1800,34.5,56
26/05/1999,0,25.4,87
26/05/1999,1200,21.2,91
26/05/1999,1800,32.6,64
27/05/1999,0,27.2,86
27/05/1999,1200,25.8,85
27/05/1999,1800,31.8,72
28/05/1999,0,26,91
28/05/1999,1200,25,91
28/05/1999,1800,33.4,64
29/05/1999,0,27,87
29/05/1999,1200,24.4,84
29/05/1999,1800,32,72
30/05/1999,0,27,78
30/05/1999,1200,20.8,95
30/05/1999,1800,20.6,92
31/05/1999,0,19.2,96
31/05/1999,1200,15,87
31/05/1999,1800,23.6,63
01/06/1999,0,18.4,80
01/06/1999,1200,15.5,88
01/06/1999,1800,28.6,60
02/06/1999,1200,17.7,95
02/06/1999,1800,31.2,61
03/06/1999,0,23.6,83
03/06/1999,1200,20.2,91
03/06/1999,1800,32.6,58
04/06/1999,0,24.8,80
04/06/1999,1200,22,82
04/06/1999,1800,30,67
05/06/1999,0,23.8,81
05/06/1999,1200,22.2,83
05/06/1999,1800,29.4,75
06/06/1999,0,24,92
06/06/1999,1200,19.2,88
06/06/1999,1800,26.8,71
07/06/1999,0,22,88
07/06/1999,1200,17.4,89
07/06/1999,1800,26.8,69
08/06/1999,0,22.6,81
08/06/1999,1200,19.4,89
08/06/1999,1800,31.6,68
09/06/1999,0,25.5,86
09/06/1999,1200,22.2,88
09/06/1999,1800,33.4,54
10/06/1999,0,25.6,83
10/06/1999,1200,19.4,82
10/06/1999,1800,24.6,71
11/06/1999,0,21.2,82
11/06/1999,1200,17.4,89
11/06/1999,1800,27.8,77
12/06/1999,0,23.3,88
12/06/1999,1200,20.4,97
12/06/1999,1800,32.8,54
13/06/1999,0,25.5,89
13/06/1999,1200,20.5,94
13/06/1999,1800,31.9,49
14/06/1999,0,23.8,91
14/06/1999,1200,21.3,90
14/06/1999,1800,31.4,57
15/06/1999,0,25.4,87
15/06/1999,1200,22.4,86
15/06/1999,1800,33.2,71
16/06/1999,0,25.4,79
16/06/1999,1200,22.2,79
16/06/1999,1800,33.8,41
17/06/1999,0,25.4,71
17/06/1999,1200,22.2,74
17/06/1999,1800,33.8,48
18/06/1999,0,24.8,75
18/06/1999,1200,21.9,74
18/06/1999,1800,33,41
19/06/1999,0,25.4,73
19/06/1999,1200,22.4,82
19/06/1999,1800,28.8,61
20/06/1999,0,21.4,74
20/06/1999,1200,19.4,93
20/06/1999,1800,25.4,64
21/06/1999,0,22,82
21/06/1999,1200,19.4,93
21/06/1999,1800,30.6,54
22/06/1999,0,25,78
22/06/1999,1200,20.8,97
22/06/1999,1800,32.9,67
23/06/1999,0,27.2,86
23/06/1999,1200,23.6,87
23/06/1999,1800,34.9,54
24/06/1999,0,27.6,78
24/06/1999,1200,25.2,80
24/06/1999,1800,34.3,57
25/06/1999,0,28,77
25/06/1999,1200,25.6,81
25/06/1999,1800,34.9,67
26/06/1999,0,26.4,80
26/06/1999,1200,21.4,85
26/06/1999,1800,34.4,37
27/06/1999,0,25.4,81
27/06/1999,1200,20.5,85
27/06/1999,1800,33.8,41
28/06/1999,0,24,84
28/06/1999,1200,21.3,88
28/06/1999,1800,33.8,40
29/06/1999,0,27.8,84
29/06/1999,1200,24,97
29/06/1999,1800,24.2,92
30/06/1999,0,22.3,96
30/06/1999,1200,21.9,97
30/06/1999,1800,26.8,81
01/07/1999,0,24.7,92
01/07/1999,1200,22.4,95
01/07/1999,1800,31.4,61
02/07/1999,0,26.4,79
02/07/1999,1200,23,94
02/07/1999,1800,33.6,34
03/07/1999,0,25.6,82
03/07/1999,1200,22,88
03/07/1999,1800,32.7,51
04/07/1999,0,26,90
04/07/1999,1200,18.6,90
04/07/1999,1800,18.2,80
05/07/1999,0,14.8,92
05/07/1999,1200,13.4,90
05/07/1999,1800,16.1,85
06/07/1999,0,15.6,88
06/07/1999,1200,13.6,95
06/07/1999,1800,19,79
07/07/1999,0,17,90
07/07/1999,1200,14.8,92
07/07/1999,1800,27.6,67
08/07/1999,0,23.4,83
08/07/1999,1200,20.6,92
08/07/1999,1800,31.9,50
09/07/1999,0,26,69
09/07/1999,1200,21,92
09/07/1999,1800,32.2,64
10/07/1999,0,25,80
10/07/1999,1200,23.6,72
10/07/1999,1800,33,44
11/07/1999,0,25.4,87
11/07/1999,1200,22.4,82
11/07/1999,1800,33.8,42
12/07/1999,0,26.8,70
12/07/1999,1200,23.9,76
12/07/1999,1800,33.6,38
13/07/1999,0,26.6,68
13/07/1999,1200,21.5,85
13/07/1999,1800,33,44
14/07/1999,0,24.6,74
14/07/1999,1200,20,91
14/07/1999,1800,33,37
15/07/1999,0,24.8,79
15/07/1999,1200,22,77
15/07/1999,1800,32.4,33
16/07/1999,0,24.4,67
16/07/1999,1200,19.6,84
16/07/1999,1800,32.6,44
