Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/2000,0,26.8,72
01/01/2000,1200,27.3,77
01/01/2000,1800,28.7,64
02/01/2000,0,26.4,77
02/01/2000,1200,28.7,63
02/01/2000,1800,29.2,67
03/01/2000,0,27,77
03/01/2000,1200,28,73
03/01/2000,1800,25,92
04/01/2000,0,24.5,96
04/01/2000,1200,27.6,73
04/01/2000,1800,29,73
05/01/2000,0,26.7,81
05/01/2000,1200,28,72
05/01/2000,1800,25.4,86
06/01/2000,0,24.1,94
06/01/2000,1200,24.7,91
06/01/2000,1800,27.9,78
07/01/2000,0,23.4,95
07/01/2000,1200,22.4,91
07/01/2000,1800,24.3,88
08/01/2000,0,24.3,97
08/01/2000,1200,27.1,80
08/01/2000,1800,26.3,87
09/01/2000,0,25.3,88
09/01/2000,1200,27.5,76
09/01/2000,1800,28.3,72
10/01/2000,0,26.3,78
10/01/2000,1200,28.1,64
10/01/2000,1800,28.9,62
11/01/2000,0,25.6,74
11/01/2000,1200,27.6,68
11/01/2000,1800,28.8,69
12/01/2000,0,25.8,82
12/01/2000,1200,27.2,76
12/01/2000,1800,28.6,67
13/01/2000,0,26.9,75
13/01/2000,1200,28.4,75
13/01/2000,1800,29.6,69
14/01/2000,0,26.7,84
14/01/2000,1200,27.8,79
14/01/2000,1800,27.4,81
15/01/2000,0,25.4,89
15/01/2000,1200,28.7,67
15/01/2000,1800,29.2,62
16/01/2000,0,,88
16/01/2000,1200,28.8,70
16/01/2000,1800,29.5,65
17/01/2000,0,27.3,78
17/01/2000,1200,28.2,78
17/01/2000,1800,29.4,70
18/01/2000,0,27.2,78
18/01/2000,1200,29,69
18/01/2000,1800,28.6,68
19/01/2000,0,26.7,81
19/01/2000,1200,28,64
19/01/2000,1800,29.5,59
20/01/2000,0,26.5,75
20/01/2000,1200,28,71
20/01/2000,1800,30.7,64
21/01/2000,0,27.2,80
21/01/2000,1200,27.7,71
21/01/2000,1800,30.3,65
22/01/2000,0,27.7,82
22/01/2000,1200,29.6,66
22/01/2000,1800,29.7,69
23/01/2000,0,27.5,76
23/01/2000,1200,28.6,70
23/01/2000,1800,29.5,65
24/01/2000,0,,88
24/01/2000,1200,28.2,65
24/01/2000,1800,28.3,78
25/01/2000,0,30.2,58
25/01/2000,1200,28.6,73
25/01/2000,1800,29.7,67
26/01/2000,0,27.5,76
26/01/2000,1200,28.4,73
26/01/2000,1800,29.6,69
27/01/2000,0,27.1,79
27/01/2000,1200,28,64
27/01/2000,1800,29.7,60
28/01/2000,0,27.1,81
28/01/2000,1200,28.8,69
28/01/2000,1800,29.8,67
29/01/2000,0,27.1,77
29/01/2000,1200,29.6,66
29/01/2000,1800,29.8,65
30/01/2000,0,27.7,77
30/01/2000,1200,29.2,72
30/01/2000,1800,28.5,76
31/01/2000,0,26.7,88
31/01/2000,1200,28.8,71
31/01/2000,1800,28.9,69
01/02/2000,0,26.8,78
01/02/2000,1200,28.9,76
01/02/2000,1800,29.1,68
02/02/2000,0,26.8,79
02/02/2000,1200,28.4,75
02/02/2000,1800,30.4,63
03/02/2000,0,27,83
