Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,23,81
01/01/1999,1200,20.1,90
01/01/1999,1800,26.1,75
02/01/1999,0,19.1,96
02/01/1999,1200,20,89
02/01/1999,1800,26.1,68
03/01/1999,0,22.1,90
03/01/1999,1200,22.2,89
03/01/1999,1800,27.1,69
04/01/1999,0,20,89
04/01/1999,1200,20.2,88
04/01/1999,1800,24.4,81
05/01/1999,0,21.2,88
05/01/1999,1200,19.2,99
05/01/1999,1800,25.4,74
06/01/1999,0,20.3,87
06/01/1999,1200,18.1,90
06/01/1999,1800,21.2,80
07/01/1999,0,17.3,96
07/01/1999,1200,18.1,89
07/01/1999,1800,19.1,80
08/01/1999,0,15.3,98
08/01/1999,1200,16,98
08/01/1999,1800,18.1,98
09/01/1999,0,17,100
09/01/1999,1200,18,98
09/01/1999,1800,20,91
10/01/1999,0,18.9,93
10/01/1999,1200,18.1,97
10/01/1999,1800,20.1,91
11/01/1999,0,18,98
11/01/1999,1200,17.3,97
11/01/1999,1800,19.7,93
12/01/1999,0,17.3,97
12/01/1999,1200,16.2,96
12/01/1999,1800,16.9,93
13/01/1999,0,17.3,95
13/01/1999,1200,16.2,97
13/01/1999,1800,22.4,81
14/01/1999,0,18.2,98
14/01/1999,1200,17.9,90
14/01/1999,1800,23.6,77
15/01/1999,0,21,91
15/01/1999,1200,20.3,78
15/01/1999,1800,26,66
16/01/1999,0,18.8,93
16/01/1999,1200,19,92
16/01/1999,1800,24.6,79
17/01/1999,0,17.8,92
17/01/1999,1200,19.1,99
17/01/1999,1800,21.8,90
18/01/1999,0,20,93
18/01/1999,1200,20.3,98
18/01/1999,1800,27.4,74
19/01/1999,0,19.7,96
19/01/1999,1200,24,82
19/01/1999,1800,25,81
20/01/1999,0,24.4,89
20/01/1999,1200,23.1,68
20/01/1999,1800,28.3,63
21/01/1999,0,22.2,82
21/01/1999,1200,23.2,81
21/01/1999,1800,30.2,57
22/01/1999,0,21,93
