Data,Hora,TempBulboSeco,UmidadeRelativa
01/04/2002,0,30.9,55
01/05/2002,0,24.2,78
01/05/2002,1200,26.6,82
01/05/2002,1800,25.9,78
02/05/2002,0,24.7,84
02/05/2002,1200,23.1,92
02/05/2002,1800,25,79
03/05/2002,0,24.1,85
03/05/2002,1200,24.2,87
03/05/2002,1800,30.1,47
04/05/2002,0,26.2,67
04/05/2002,1200,23.6,87
04/05/2002,1800,28,57
05/05/2002,0,25.8,76
05/05/2002,1200,24.1,85
05/05/2002,1800,27.3,72
06/05/2002,0,25.3,82
06/05/2002,1200,25.8,84
06/05/2002,1800,27.4,76
07/05/2002,0,25.4,86
07/05/2002,1200,25.2,87
07/05/2002,1800,29.7,68
08/05/2002,0,25.5,84
08/05/2002,1200,26,85
08/05/2002,1800,30,70
09/05/2002,0,25.4,83
09/05/2002,1200,26,78
09/05/2002,1800,26.4,74
10/05/2002,0,22.9,91
10/05/2002,1200,23.8,87
10/05/2002,1800,27.4,72
11/05/2002,0,24.8,84
11/05/2002,1200,24.1,84
11/05/2002,1800,28,65
12/05/2002,0,24.5,90
12/05/2002,1200,24.2,85
12/05/2002,1800,28.8,68
13/05/2002,0,25.7,79
13/05/2002,1200,25,85
13/05/2002,1800,30.6,63
14/05/2002,0,26.5,76
14/05/2002,1200,24,80
14/05/2002,1800,31.1,54
15/05/2002,0,25.4,77
15/05/2002,1200,25.1,81
15/05/2002,1800,32.4,61
16/05/2002,0,28.2,68
16/05/2002,1200,26,79
16/05/2002,1800,34.2,41
17/05/2002,0,29.4,54
17/05/2002,1200,26.3,75
17/05/2002,1800,30,54
18/05/2002,0,25.3,75
18/05/2002,1200,24.1,81
18/05/2002,1800,28.4,68
19/05/2002,0,25.6,77
19/05/2002,1200,26.6,69
19/05/2002,1800,27.9,64
20/05/2002,0,25.4,78
20/05/2002,1200,24.2,75
20/05/2002,1800,30.3,57
21/05/2002,0,26.3,76
21/05/2002,1200,26.4,74
21/05/2002,1800,30,57
22/05/2002,0,24.9,75
22/05/2002,1200,20,98
22/05/2002,1800,21.4,84
23/05/2002,0,20.1,91
23/05/2002,1200,19.5,95
23/05/2002,1800,23,76
24/05/2002,0,20.1,84
24/05/2002,1200,20.2,87
24/05/2002,1800,24.5,63
25/05/2002,0,21.4,73
25/05/2002,1200,20.1,87
25/05/2002,1800,22,80
26/05/2002,0,20.2,85
26/05/2002,1200,19.6,84
26/05/2002,1800,25.2,55
27/05/2002,0,21.7,72
27/05/2002,1200,20,80
27/05/2002,1800,26,61
28/05/2002,0,23,71
28/05/2002,1200,21.8,80
28/05/2002,1800,26.7,68
29/05/2002,0,23.7,79
29/05/2002,1200,22.2,85
29/05/2002,1800,28.1,57
30/05/2002,0,24.1,79
30/05/2002,1200,21.8,85
30/05/2002,1800,29.7,57
31/05/2002,0,23.8,79
31/05/2002,1200,22.9,66
31/05/2002,1800,29.1,60
01/06/2002,0,25.6,75
01/06/2002,1200,22.7,86
01/06/2002,1800,27.3,67
02/06/2002,0,23.6,83
02/06/2002,1200,22.4,91
02/06/2002,1800,28,63
03/06/2002,0,23.5,80
03/06/2002,1200,22.7,75
03/06/2002,1800,31.9,47
04/06/2002,0,26.2,70
04/06/2002,1200,23,85
04/06/2002,1800,29.1,58
05/06/2002,0,25,73
05/06/2002,1200,23,84
05/06/2002,1800,32,50
06/06/2002,0,26.3,77
06/06/2002,1200,24,81
06/06/2002,1800,31.2,58
07/06/2002,0,26.4,69
07/06/2002,1200,23.1,81
07/06/2002,1800,32.4,45
08/06/2002,0,27.2,64
08/06/2002,1200,24.2,76
08/06/2002,1800,32,56
