Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,26.8,78
01/01/1999,1200,29,70
01/01/1999,1800,29.4,69
02/01/1999,0,26.8,77
02/01/1999,1200,29,69
02/01/1999,1800,29.2,66
03/01/1999,0,27,81
03/01/1999,1200,28,83
03/01/1999,1800,29.2,70
04/01/1999,0,27,78
04/01/1999,1200,28.4,79
04/01/1999,1800,29.6,70
05/01/1999,0,27,81
05/01/1999,1200,28.2,79
05/01/1999,1800,29,69
06/01/1999,0,26.8,75
06/01/1999,1200,28.4,72
06/01/1999,1800,28.6,76
07/01/1999,0,26.6,82
07/01/1999,1200,27.8,74
07/01/1999,1800,29.2,78
08/01/1999,0,26.6,78
08/01/1999,1200,26.2,88
08/01/1999,1800,28,80
09/01/1999,0,26.6,82
09/01/1999,1200,27.4,78
09/01/1999,1800,28,76
10/01/1999,0,26.8,82
10/01/1999,1200,28.2,76
10/01/1999,1800,28.6,77
11/01/1999,0,26.8,82
11/01/1999,1200,28.4,76
11/01/1999,1800,28.2,75
12/01/1999,0,26.2,78
12/01/1999,1200,28.8,68
12/01/1999,1800,29,75
13/01/1999,0,26.6,79
13/01/1999,1200,29.2,75
13/01/1999,1800,29,75
14/01/1999,0,26.8,82
14/01/1999,1200,28.4,76
14/01/1999,1800,28.8,72
15/01/1999,0,26.8,79
15/01/1999,1200,28.8,75
15/01/1999,1800,29,74
16/01/1999,0,26.6,81
16/01/1999,1200,26.8,82
16/01/1999,1800,29.4,73
17/01/1999,0,26.8,81
17/01/1999,1200,28.2,77
17/01/1999,1800,28.4,75
18/01/1999,0,26.6,83
18/01/1999,1200,28,78
18/01/1999,1800,28.4,73
19/01/1999,0,26.8,84
19/01/1999,1200,28.6,75
19/01/1999,1800,28.6,76
20/01/1999,0,26.8,82
20/01/1999,1200,28,80
20/01/1999,1800,28.8,75
21/01/1999,0,26.6,81
21/01/1999,1200,27,84
21/01/1999,1800,29,74
22/01/1999,0,27,82
22/01/1999,1200,28.4,76
22/01/1999,1800,29.2,74
23/01/1999,0,27,85
23/01/1999,1200,28.4,81
23/01/1999,1800,29.4,76
24/01/1999,0,27,84
24/01/1999,1200,28.8,76
24/01/1999,1800,29.4,75
25/01/1999,0,27,82
25/01/1999,1200,28.8,75
25/01/1999,1800,29.4,73
26/01/1999,0,27.2,81
26/01/1999,1200,28.6,76
26/01/1999,1800,29,72
27/01/1999,0,27,82
27/01/1999,1200,28.8,76
27/01/1999,1800,29,74
28/01/1999,0,26.8,82
28/01/1999,1200,28.2,75
28/01/1999,1800,28.8,72
29/01/1999,0,27,81
