Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,26.4,55
01/01/1999,1200,21.4,68
01/01/1999,1800,26.1,51
02/01/1999,0,20.3,87
02/01/1999,1200,22.6,69
02/01/1999,1800,32,40
03/01/1999,0,28,49
03/01/1999,1200,24,69
03/01/1999,1800,30.2,53
04/01/1999,0,22,77
04/01/1999,1200,24.6,74
04/01/1999,1800,28.8,61
05/01/1999,0,24.2,78
05/01/1999,1200,25.2,77
05/01/1999,1800,27.6,58
06/01/1999,0,22.9,80
06/01/1999,1200,22.2,85
06/01/1999,1800,23,76
07/01/1999,0,21.2,87
07/01/1999,1200,20.6,92
07/01/1999,1800,24.8,69
08/01/1999,0,21.4,82
08/01/1999,1200,24.4,70
08/01/1999,1800,29.1,60
09/01/1999,0,21.9,80
09/01/1999,1200,24.4,65
09/01/1999,1800,31,53
10/01/1999,0,23,77
10/01/1999,1200,24.5,71
10/01/1999,1800,28.4,51
11/01/1999,0,22.4,76
11/01/1999,1200,23,76
11/01/1999,1800,24.2,75
12/01/1999,0,22,82
12/01/1999,1200,22,87
12/01/1999,1800,25.6,68
13/01/1999,0,21.2,77
13/01/1999,1200,23.6,79
13/01/1999,1800,29,56
14/01/1999,0,23,79
14/01/1999,1200,21.4,96
14/01/1999,1800,22,91
15/01/1999,0,21.6,87
15/01/1999,1200,20.6,67
15/01/1999,1800,25.1,52
16/01/1999,0,19.2,69
16/01/1999,1200,21.6,68
16/01/1999,1800,28.2,52
17/01/1999,0,21.2,70
17/01/1999,1200,24.2,73
17/01/1999,1800,31.6,56
18/01/1999,0,24.6,81
18/01/1999,1200,28.2,71
18/01/1999,1800,35,51
19/01/1999,0,27.2,67
19/01/1999,1200,26.4,75
19/01/1999,1800,32.2,53
20/01/1999,0,27,78
20/01/1999,1200,26.3,73
20/01/1999,1800,31.4,55
21/01/1999,0,25.8,83
21/01/1999,1200,27.8,70
21/01/1999,1800,35,46
22/01/1999,0,27.6,72
22/01/1999,1200,28,77
22/01/1999,1800,31.2,67
23/01/1999,0,25.2,84
23/01/1999,1200,28,75
23/01/1999,1800,31.5,57
24/01/1999,0,24.6,83
24/01/1999,1200,28.2,66
24/01/1999,1800,35.8,45
25/01/1999,0,29.2,69
25/01/1999,1200,27.8,81
25/01/1999,1800,35,47
26/01/1999,0,25.5,89
26/01/1999,1200,24.4,88
26/01/1999,1800,29.3,64
27/01/1999,0,24.2,78
27/01/1999,1200,26,74
27/01/1999,1800,30.9,56
28/01/1999,0,24.2,75
28/01/1999,1200,25.4,74
28/01/1999,1800,25.4,75
29/01/1999,0,21.8,98
29/01/1999,1200,22.8,94
29/01/1999,1800,29,68
30/01/1999,0,23.4,89
30/01/1999,1200,25.1,66
30/01/1999,1800,30.1,50
31/01/1999,0,26.8,66
31/01/1999,1200,25.8,74
31/01/1999,1800,31.6,48
