Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/1999,0,25.4,79
01/01/1999,1200,26.7,67
01/01/1999,1800,24.8,72
02/01/1999,0,22.4,75
02/01/1999,1200,26.4,63
02/01/1999,1800,31,61
03/01/1999,0,24.2,76
03/01/1999,1200,25.8,64
03/01/1999,1800,28.8,50
04/01/1999,0,24.4,84
04/01/1999,1200,26.2,69
04/01/1999,1800,27.6,70
05/01/1999,0,24.6,93
05/01/1999,1200,25.3,83
05/01/1999,1800,28,70
06/01/1999,0,24.4,84
06/01/1999,1200,25.8,74
06/01/1999,1800,26.4,71
07/01/1999,0,23.6,84
07/01/1999,1200,24.8,69
07/01/1999,1800,25.4,68
08/01/1999,0,22.8,86
08/01/1999,1200,23.4,79
08/01/1999,1800,22,92
09/01/1999,0,20.8,96
09/01/1999,1200,23.6,86
09/01/1999,1800,26,76
10/01/1999,0,23.2,87
10/01/1999,1200,23.9,86
10/01/1999,1800,26.8,73
11/01/1999,0,23.6,83
11/01/1999,1200,24.2,73
11/01/1999,1800,26.6,66
12/01/1999,0,22.2,92
12/01/1999,1200,23.8,83
12/01/1999,1800,26.4,70
13/01/1999,0,23.4,79
13/01/1999,1200,24.8,79
13/01/1999,1800,25.9,72
14/01/1999,0,23,81
14/01/1999,1200,24.4,80
14/01/1999,1800,28.1,67
15/01/1999,0,23,94
15/01/1999,1200,24,79
15/01/1999,1800,24,81
16/01/1999,0,22.2,75
16/01/1999,1200,23,74
16/01/1999,1800,25.4,68
17/01/1999,0,23.8,76
17/01/1999,1200,21.6,87
17/01/1999,1800,23.7,93
18/01/1999,0,22.8,94
18/01/1999,1200,27,81
18/01/1999,1800,27.9,80
19/01/1999,0,23.8,94
19/01/1999,1200,28.8,73
19/01/1999,1800,33.4,52
20/01/1999,0,24,93
20/01/1999,1200,28.2,76
20/01/1999,1800,28.2,78
21/01/1999,0,23.2,96
21/01/1999,1200,26.8,85
21/01/1999,1800,28.6,77
22/01/1999,0,24.8,96
22/01/1999,1200,27.2,82
22/01/1999,1800,30.2,70
23/01/1999,0,25.6,90
23/01/1999,1200,24,96
23/01/1999,1800,24.2,94
24/01/1999,0,23.2,98
24/01/1999,1200,26.4,84
24/01/1999,1800,28.8,69
25/01/1999,0,26,87
25/01/1999,1200,27.8,78
25/01/1999,1800,29.2,75
26/01/1999,0,26.8,84
26/01/1999,1200,28,83
26/01/1999,1800,28.9,77
27/01/1999,0,25.9,83
27/01/1999,1200,27,79
27/01/1999,1800,27.8,75
28/01/1999,0,25.6,86
28/01/1999,1200,26.8,81
28/01/1999,1800,27.4,80
29/01/1999,0,26.2,84
29/01/1999,1200,26.7,83
29/01/1999,1800,29,73
30/01/1999,0,27,85
30/01/1999,1200,28.9,67
30/01/1999,1800,31.2,63
31/01/1999,0,27.5,77
31/01/1999,1200,29,76
31/01/1999,1800,32.6,54
01/02/1999,0,28.4,69
01/02/1999,1200,28,70
01/02/1999,1800,30,67
02/02/1999,0,27,79
02/02/1999,1200,28.5,71
02/02/1999,1800,29,53
03/02/1999,0,25.3,80
03/02/1999,1200,25.6,73
03/02/1999,1800,26.8,72
04/02/1999,0,24.7,81
04/02/1999,1200,29,68
04/02/1999,1800,33.6,56
05/02/1999,0,26.6,82
05/02/1999,1200,27.4,72
05/02/1999,1800,28.2,74
06/02/1999,0,25.8,88
06/02/1999,1200,26.4,83
06/02/1999,1800,30.2,61
07/02/1999,0,26.4,73
07/02/1999,1200,28.6,66
07/02/1999,1800,30.8,65
08/02/1999,0,24.4,95
08/02/1999,1200,25,88
08/02/1999,1800,24,88
09/02/1999,0,22.6,85
09/02/1999,1200,21.2,94
09/02/1999,1800,23,86
10/02/1999,0,22,85
10/02/1999,1200,24.2,73
10/02/1999,1800,24.8,65
11/02/1999,0,23.2,72
11/02/1999,1200,24.8,75
11/02/1999,1800,28,58
12/02/1999,0,23.8,79
12/02/1999,1200,23.4,78
12/02/1999,1800,27,60
13/02/1999,0,24.8,69
13/02/1999,1200,26.2,75
13/02/1999,1800,25.4,90
14/02/1999,0,25.7,89
14/02/1999,1200,25.1,75
14/02/1999,1800,26.4,81
15/02/1999,0,23.9,83
15/02/1999,1200,24.9,78
15/02/1999,1800,26.7,70
16/02/1999,0,24.6,87
16/02/1999,1200,23.4,91
16/02/1999,1800,25.7,89
17/02/1999,0,24,94
17/02/1999,1200,24.9,89
17/02/1999,1800,27,81
18/02/1999,0,24.2,86
18/02/1999,1200,25.6,82
18/02/1999,1800,27,76
19/02/1999,0,24.5,82
19/02/1999,1200,25.1,78
19/02/1999,1800,27.4,72
20/02/1999,0,24.6,81
20/02/1999,1200,24.8,81
20/02/1999,1800,26.4,78
21/02/1999,0,24.4,84
21/02/1999,1200,25.8,83
21/02/1999,1800,27,82
22/02/1999,0,24.8,89
22/02/1999,1200,23.2,96
22/02/1999,1800,26.2,75
23/02/1999,0,24.5,88
23/02/1999,1200,23.8,86
23/02/1999,1800,29,70
24/02/1999,0,25.6,90
24/02/1999,1200,27.2,81
24/02/1999,1800,26,87
25/02/1999,0,23.6,94
25/02/1999,1200,24.8,85
25/02/1999,1800,28.4,74
26/02/1999,0,24,83
26/02/1999,1200,26.3,78
26/02/1999,1800,28.6,72
27/02/1999,0,25.8,83
27/02/1999,1200,27.1,77
27/02/1999,1800,27.8,69
28/02/1999,0,24.1,88
28/02/1999,1200,28.4,74
28/02/1999,1800,30.4,65
01/03/1999,0,27,82
