Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/2000,0,26,85
01/01/2000,1200,28,74
01/01/2000,1800,28,78
02/01/2000,0,26.2,86
02/01/2000,1200,27.4,77
02/01/2000,1800,27.2,80
03/01/2000,0,26.2,83
03/01/2000,1200,27.6,78
03/01/2000,1800,27.6,78
04/01/2000,0,26.8,81
04/01/2000,1200,25.6,83
04/01/2000,1800,25.2,83
05/01/2000,0,25,83
05/01/2000,1200,26.8,77
05/01/2000,1800,27.8,76
06/01/2000,0,25.4,86
06/01/2000,1200,27,77
06/01/2000,1800,26.8,75
07/01/2000,0,25.6,85
07/01/2000,1200,26.6,85
07/01/2000,1800,28,77
08/01/2000,0,26.2,80
08/01/2000,1200,28.4,72
08/01/2000,1800,28.6,72
09/01/2000,0,26.4,78
09/01/2000,1200,28.6,70
09/01/2000,1800,28.8,68
10/01/2000,0,26.8,72
10/01/2000,1200,27,75
10/01/2000,1800,28.6,68
11/01/2000,0,26.6,75
11/01/2000,1200,27.6,74
11/01/2000,1800,28.2,69
12/01/2000,0,26.4,82
12/01/2000,1200,25.2,89
12/01/2000,1800,28.8,71
13/01/2000,0,24.4,89
13/01/2000,1200,26.8,79
13/01/2000,1800,28.6,72
14/01/2000,0,26.8,85
14/01/2000,1200,28.4,75
14/01/2000,1800,27.8,74
15/01/2000,0,26.4,79
15/01/2000,1200,28.2,67
15/01/2000,1800,28.6,65
16/01/2000,0,26.2,76
16/01/2000,1200,28.2,66
16/01/2000,1800,28.8,65
17/01/2000,0,26.8,74
17/01/2000,1200,28.4,77
17/01/2000,1800,29.2,72
18/01/2000,0,27,82
18/01/2000,1200,28.6,79
18/01/2000,1800,28.8,75
19/01/2000,0,26.8,82
19/01/2000,1200,28.8,71
19/01/2000,1800,28.8,75
20/01/2000,0,26.4,85
20/01/2000,1200,29.2,69
20/01/2000,1800,29,75
21/01/2000,0,27.2,84
21/01/2000,1200,24.2,90
21/01/2000,1800,28.2,72
22/01/2000,0,23.2,87
22/01/2000,1200,27.2,82
22/01/2000,1800,28.6,83
23/01/2000,0,27,88
23/01/2000,1200,29,62
23/01/2000,1800,29,74
24/01/2000,0,26.6,88
24/01/2000,1200,28,76
24/01/2000,1800,29,72
25/01/2000,0,26.6,88
25/01/2000,1200,28.2,76
25/01/2000,1800,29.2,78
26/01/2000,0,26.8,89
26/01/2000,1200,28.4,79
26/01/2000,1800,29,79
27/01/2000,0,26.8,88
27/01/2000,1200,28.2,73
27/01/2000,1800,28.6,77
28/01/2000,0,26.8,88
28/01/2000,1200,27.8,73
28/01/2000,1800,29,79
29/01/2000,0,27,87
29/01/2000,1200,28.2,80
29/01/2000,1800,29.6,75
30/01/2000,0,27.2,84
30/01/2000,1200,28.4,80
30/01/2000,1800,29.4,74
31/01/2000,0,27.2,81
31/01/2000,1200,27.6,76
31/01/2000,1800,29.2,73
01/02/2000,0,27.2,77
01/02/2000,1200,28.3,74
01/02/2000,1800,29.2,82
02/02/2000,0,27.2,81
02/02/2000,1200,28,74
02/02/2000,1800,29,76
03/02/2000,0,27.2,88
03/02/2000,1200,29.6,74
03/02/2000,1800,29.4,74
04/02/2000,0,27.8,85
04/02/2000,1200,28,73
04/02/2000,1800,30.6,53
05/02/2000,0,27.4,85
05/02/2000,1200,28.6,72
05/02/2000,1800,29.8,74
06/02/2000,0,27.2,84
06/02/2000,1200,28.6,77
06/02/2000,1800,29.5,86
07/02/2000,0,27,85
07/02/2000,1200,28.8,71
07/02/2000,1800,29.5,68
08/02/2000,0,27.4,74
08/02/2000,1200,28.4,72
08/02/2000,1800,29.4,74
09/02/2000,0,27.4,78
09/02/2000,1200,29.4,70
09/02/2000,1800,29.6,71
10/02/2000,0,27.4,81
10/02/2000,1200,25,81
10/02/2000,1800,27.5,78
11/02/2000,0,27.2,85
11/02/2000,1200,29.5,70
11/02/2000,1800,29.6,64
12/02/2000,0,27,73
12/02/2000,1200,29.2,72
12/02/2000,1800,29.4,70
13/02/2000,0,27.6,76
13/02/2000,1200,25.4,89
13/02/2000,1800,27.4,84
14/02/2000,0,26,80
14/02/2000,1200,23.4,93
14/02/2000,1800,27,90
15/02/2000,0,26.2,91
15/02/2000,1200,25.1,88
15/02/2000,1800,26.4,87
16/02/2000,0,24.8,92
16/02/2000,1200,24.6,90
16/02/2000,1800,24.5,88
17/02/2000,0,24.2,92
17/02/2000,1200,28,74
17/02/2000,1800,28.8,84
18/02/2000,0,27.4,85
18/02/2000,1200,28.8,75
18/02/2000,1800,29,76
19/02/2000,0,27.2,74
19/02/2000,1200,29,72
19/02/2000,1800,29.2,67
20/02/2000,0,27.3,75
20/02/2000,1200,26.6,74
20/02/2000,1800,26.8,88
21/02/2000,0,26.3,84
21/02/2000,1200,25.8,89
21/02/2000,1800,28.2,82
22/02/2000,0,26.6,84
22/02/2000,1200,26,89
22/02/2000,1800,26.8,91
23/02/2000,0,26.8,84
23/02/2000,1200,23.3,97
23/02/2000,1800,25.2,88
24/02/2000,0,25.8,86
24/02/2000,1200,23.4,90
24/02/2000,1800,26.2,84
25/02/2000,0,25.6,88
25/02/2000,1200,28.2,84
25/02/2000,1800,27.2,82
26/02/2000,0,26.8,88
26/02/2000,1200,28,83
26/02/2000,1800,29,74
27/02/2000,0,27.2,81
27/02/2000,1200,28.8,72
27/02/2000,1800,29.4,71
28/02/2000,0,27.4,80
28/02/2000,1200,28,76
28/02/2000,1800,29.2,70
29/02/2000,0,27.2,77
29/02/2000,1200,27.4,81
29/02/2000,1800,29.2,69
01/03/2000,0,27,73
01/03/2000,1200,25.2,91
01/03/2000,1800,28.6,78
02/03/2000,0,27.2,78
02/03/2000,1200,24.8,97
02/03/2000,1800,29,81
03/03/2000,0,27.2,81
03/03/2000,1200,27.2,82
03/03/2000,1800,29.1,79
04/03/2000,0,27.2,79
04/03/2000,1200,28.3,65
04/03/2000,1800,28.6,68
05/03/2000,0,27,81
05/03/2000,1200,27.4,76
05/03/2000,1800,28.6,77
06/03/2000,0,27.1,84
06/03/2000,1200,26.1,91
06/03/2000,1800,28.2,81
07/03/2000,0,27.1,87
07/03/2000,1200,27.7,78
07/03/2000,1800,29,70
08/03/2000,0,27.2,81
08/03/2000,1200,28.4,79
08/03/2000,1800,28.1,84
09/03/2000,0,27.7,86
09/03/2000,1200,28.2,79
09/03/2000,1800,28.8,71
10/03/2000,0,27.6,82
10/03/2000,1200,28.2,81
10/03/2000,1800,29.6,84
11/03/2000,0,27.8,82
11/03/2000,1200,28,85
11/03/2000,1800,29.2,75
12/03/2000,0,27.6,78
12/03/2000,1200,28.2,79
12/03/2000,1800,29.4,74
13/03/2000,0,27.6,78
13/03/2000,1200,28.4,68
13/03/2000,1800,29.4,80
14/03/2000,0,27.7,85
14/03/2000,1200,28.4,71
14/03/2000,1800,29.4,80
15/03/2000,0,27.6,86
15/03/2000,1200,28.6,79
15/03/2000,1800,29.2,75
16/03/2000,0,27.2,80
16/03/2000,1200,29,75
16/03/2000,1800,29.3,81
17/03/2000,0,27.1,76
17/03/2000,1200,28.8,70
17/03/2000,1800,28.8,67
18/03/2000,0,27.3,79
18/03/2000,1200,29.1,72
18/03/2000,1800,28.8,74
19/03/2000,0,27.3,83
19/03/2000,1200,28.8,70
19/03/2000,1800,29.4,76
20/03/2000,0,27.5,82
20/03/2000,1200,28.8,76
20/03/2000,1800,28.8,77
21/03/2000,0,26.8,77
21/03/2000,1200,29,67
21/03/2000,1800,29.6,61
22/03/2000,0,27.6,72
22/03/2000,1200,27.8,77
22/03/2000,1800,28.8,74
23/03/2000,0,27.3,73
23/03/2000,1200,29.2,67
23/03/2000,1800,28.2,69
24/03/2000,0,26,86
24/03/2000,1200,27.8,82
24/03/2000,1800,28.7,74
25/03/2000,0,27.7,74
25/03/2000,1200,28.4,72
25/03/2000,1800,29.2,66
26/03/2000,0,27,74
26/03/2000,1200,28,74
26/03/2000,1800,28.4,69
27/03/2000,0,27,82
27/03/2000,1200,26.4,88
27/03/2000,1800,28.8,74
28/03/2000,0,27.2,79
28/03/2000,1200,28.8,74
28/03/2000,1800,27.8,75
29/03/2000,0,26.4,81
29/03/2000,1200,28.6,75
29/03/2000,1800,29.2,67
30/03/2000,0,26.8,74
30/03/2000,1200,27.2,66
30/03/2000,1800,28.3,71
31/03/2000,0,27.1,73
31/03/2000,1200,26.8,82
31/03/2000,1800,27.6,81
01/04/2000,0,26.2,88
01/04/2000,1200,28.4,80
01/04/2000,1800,25.8,84
02/04/2000,0,25.6,88
02/04/2000,1200,26.8,91
02/04/2000,1800,29.4,76
03/04/2000,0,27.2,79
03/04/2000,1200,28.8,75
03/04/2000,1800,29.2,71
04/04/2000,0,27.6,77
04/04/2000,1200,29.3,70
04/04/2000,1800,28.8,74
05/04/2000,0,27.4,78
05/04/2000,1200,28.4,79
05/04/2000,1800,29.4,73
06/04/2000,0,27.6,80
06/04/2000,1200,28.3,75
06/04/2000,1800,29.3,70
07/04/2000,0,27.6,75
07/04/2000,1200,29,71
07/04/2000,1800,29,66
08/04/2000,0,27.6,77
08/04/2000,1200,24.2,87
08/04/2000,1800,28.2,75
09/04/2000,0,24.2,94
09/04/2000,1200,29,66
09/04/2000,1800,29.2,66
10/04/2000,0,27.4,75
10/04/2000,1200,28.6,68
10/04/2000,1800,29,64
11/04/2000,0,27.2,73
11/04/2000,1200,28.6,71
11/04/2000,1800,28.7,70
12/04/2000,0,27.6,76
12/04/2000,1200,25,92
12/04/2000,1800,27.4,82
13/04/2000,0,26.4,86
13/04/2000,1200,27.8,80
13/04/2000,1800,26,86
14/04/2000,0,24.8,92
14/04/2000,1200,28.6,70
14/04/2000,1800,27,81
15/04/2000,0,24.2,95
15/04/2000,1200,25.5,96
15/04/2000,1800,25.4,90
16/04/2000,0,26.1,88
16/04/2000,1200,24.5,97
16/04/2000,1800,24.8,97
17/04/2000,0,24.6,95
17/04/2000,1200,25.2,95
17/04/2000,1800,28.2,73
18/04/2000,0,26.6,86
18/04/2000,1200,27.2,81
18/04/2000,1800,27.8,82
19/04/2000,0,24.6,95
19/04/2000,1200,25.4,95
19/04/2000,1800,28,81
20/04/2000,0,26.8,85
20/04/2000,1200,26,89
20/04/2000,1800,28.6,81
21/04/2000,0,27.2,84
21/04/2000,1200,28.2,83
21/04/2000,1800,29.4,78
22/04/2000,0,27.8,85
22/04/2000,1200,28.8,72
22/04/2000,1800,29.2,76
23/04/2000,0,27.8,85
23/04/2000,1200,29.2,80
23/04/2000,1800,28.8,76
24/04/2000,0,27.6,80
24/04/2000,1200,28.8,75
24/04/2000,1800,25.2,95
25/04/2000,0,25.8,88
25/04/2000,1200,27.6,72
25/04/2000,1800,28.4,66
26/04/2000,0,27.2,73
26/04/2000,1200,26.6,76
26/04/2000,1800,28.2,71
27/04/2000,0,26.2,75
27/04/2000,1200,25.6,88
27/04/2000,1800,26.8,79
28/04/2000,0,26.2,80
28/04/2000,1200,24.3,96
28/04/2000,1800,27.6,77
29/04/2000,0,24.4,92
29/04/2000,1200,27.8,74
29/04/2000,1800,28.6,81
30/04/2000,0,26.8,75
30/04/2000,1200,28.6,73
30/04/2000,1800,27.1,77
01/05/2000,0,26.8,79
01/05/2000,1200,24.8,95
01/05/2000,1800,28,73
02/05/2000,0,26.9,79
02/05/2000,1200,28.4,73
02/05/2000,1800,28.5,78
03/05/2000,0,26.2,83
03/05/2000,1200,27.2,82
03/05/2000,1800,28.2,67
04/05/2000,0,27.2,69
04/05/2000,1200,29.1,68
04/05/2000,1800,28.6,78
05/05/2000,0,27.1,84
05/05/2000,1200,28.4,77
05/05/2000,1800,29,72
06/05/2000,0,27,79
06/05/2000,1200,28,77
06/05/2000,1800,28.6,76
07/05/2000,0,27.2,79
07/05/2000,1200,26.4,92
07/05/2000,1800,28.8,76
08/05/2000,0,27.2,82
08/05/2000,1200,29.2,79
08/05/2000,1800,28.8,81
09/05/2000,0,25.9,88
09/05/2000,1200,27.8,80
09/05/2000,1800,29,70
10/05/2000,0,26.8,79
10/05/2000,1200,26.9,83
10/05/2000,1800,27.8,78
11/05/2000,0,26.4,84
11/05/2000,1200,27.2,79
11/05/2000,1800,28.6,68
12/05/2000,0,27.2,75
12/05/2000,1200,27.4,78
12/05/2000,1800,28,73
13/05/2000,0,24.4,92
13/05/2000,1200,27,70
13/05/2000,1800,27.3,70
14/05/2000,0,26.8,68
14/05/2000,1200,27.8,65
14/05/2000,1800,27.4,68
15/05/2000,0,26.2,70
15/05/2000,1200,27.8,65
15/05/2000,1800,27.8,64
16/05/2000,0,25.6,77
16/05/2000,1200,25,86
16/05/2000,1800,27.2,60
17/05/2000,0,24.3,84
17/05/2000,1200,25.4,88
17/05/2000,1800,28.4,72
18/05/2000,0,27,84
18/05/2000,1200,28.1,73
18/05/2000,1800,28.3,75
19/05/2000,0,27.1,80
19/05/2000,1200,27.2,78
19/05/2000,1800,28.4,75
20/05/2000,0,27,79
20/05/2000,1200,27.8,78
20/05/2000,1800,28.4,76
21/05/2000,0,26.6,78
21/05/2000,1200,28.2,72
21/05/2000,1800,28.2,71
22/05/2000,0,24.4,89
22/05/2000,1200,25.3,85
22/05/2000,1800,25.2,87
23/05/2000,0,24.2,88
23/05/2000,1200,24.2,90
23/05/2000,1800,27.2,67
24/05/2000,0,25.8,69
24/05/2000,1200,27.4,62
24/05/2000,1800,27.3,74
25/05/2000,0,25.4,77
25/05/2000,1200,26.2,82
25/05/2000,1800,27.8,74
26/05/2000,0,26,78
26/05/2000,1200,27.6,78
26/05/2000,1800,27.5,79
27/05/2000,0,26,78
27/05/2000,1200,27.5,76
27/05/2000,1800,28.2,67
28/05/2000,0,26.3,71
28/05/2000,1200,27.7,68
28/05/2000,1800,27.6,74
29/05/2000,0,25.5,96
29/05/2000,1200,26.8,79
29/05/2000,1800,28.2,75
30/05/2000,0,26.4,81
30/05/2000,1200,28.4,69
30/05/2000,1800,28.1,71
31/05/2000,0,25.6,75
31/05/2000,1200,25.6,82
31/05/2000,1800,27.8,73
01/06/2000,0,26.6,81
01/06/2000,1200,27.1,82
01/06/2000,1800,27.4,83
02/06/2000,0,26.4,83
02/06/2000,1200,27.6,85
02/06/2000,1800,28.4,75
03/06/2000,0,26.8,75
03/06/2000,1200,24.4,89
03/06/2000,1800,27.8,76
04/06/2000,0,25.6,83
04/06/2000,1200,23.6,95
04/06/2000,1800,27.4,80
05/06/2000,0,26.2,82
05/06/2000,1200,24.1,86
05/06/2000,1800,26,80
06/06/2000,0,25.8,74
06/06/2000,1200,24.8,84
06/06/2000,1800,27.2,71
07/06/2000,0,26,71
07/06/2000,1200,25.2,83
07/06/2000,1800,27.2,74
08/06/2000,0,26,81
08/06/2000,1200,27.4,71
08/06/2000,1800,26.8,72
09/06/2000,0,26,71
09/06/2000,1200,27.1,65
09/06/2000,1800,27,70
10/06/2000,0,25.5,78
10/06/2000,1200,25.4,83
10/06/2000,1800,27.1,77
11/06/2000,0,24.8,82
11/06/2000,1200,24,86
11/06/2000,1800,27.2,80
12/06/2000,0,25.6,77
12/06/2000,1200,27.2,69
12/06/2000,1800,27.2,71
13/06/2000,0,25.6,77
13/06/2000,1200,25.6,80
13/06/2000,1800,26.5,74
14/06/2000,0,25.4,79
14/06/2000,1200,27.2,70
14/06/2000,1800,27.2,67
15/06/2000,0,25,73
15/06/2000,1200,27.2,70
15/06/2000,1800,27.1,80
16/06/2000,0,22.8,90
16/06/2000,1200,26.2,72
16/06/2000,1800,27.4,69
17/06/2000,0,25.4,80
17/06/2000,1200,25,91
17/06/2000,1800,25.6,83
18/06/2000,0,25,83
18/06/2000,1200,24.8,97
18/06/2000,1800,26,86
19/06/2000,0,25.2,89
19/06/2000,1200,26.6,85
19/06/2000,1800,27.2,78
20/06/2000,0,26.1,82
20/06/2000,1200,27.2,74
20/06/2000,1800,27.8,72
21/06/2000,0,26,82
21/06/2000,1200,26.2,76
21/06/2000,1800,27.6,79
