Data,Hora,TempBulboSeco
01/01/1999,0,22.8
01/01/1999,1200,25
01/01/1999,1800,18.6
02/01/1999,0,20.2
02/01/1999,1200,21.2
02/01/1999,1800,23
03/01/1999,0,21.8
03/01/1999,1200,23
03/01/1999,1800,24
04/01/1999,0,21.8
04/01/1999,1200,23.5
04/01/1999,1800,28.4
05/01/1999,0,24.5
05/01/1999,1200,23.8
05/01/1999,1800,27.7
06/01/1999,0,21.4
06/01/1999,1200,20
06/01/1999,1800,20.2
07/01/1999,0,19.4
07/01/1999,1200,19.3
07/01/1999,1800,20.1
08/01/1999,0,19.6
08/01/1999,1200,22
08/01/1999,1800,26.9
09/01/1999,0,21
09/01/1999,1200,23
09/01/1999,1800,23
10/01/1999,0,21.4
10/01/1999,1200,22.6
10/01/1999,1800,27.2
11/01/1999,0,21.3
11/01/1999,1200,23.6
11/01/1999,1800,23.5
12/01/1999,0,21.2
12/01/1999,1200,22
12/01/1999,1800,21.7
13/01/1999,0,19.8
13/01/1999,1200,19.8
13/01/1999,1800,23.8
14/01/1999,0,20.7
14/01/1999,1200,21.9
14/01/1999,1800,21.6
15/01/1999,0,20.8
15/01/1999,1200,21.3
15/01/1999,1800,23.6
16/01/1999,0,22.4
16/01/1999,1200,23.2
16/01/1999,1800,26
17/01/1999,0,22
17/01/1999,1200,21.5
17/01/1999,1800,27.6
18/01/1999,0,23.3
18/01/1999,1200,22.6
18/01/1999,1800,30
19/01/1999,0,24.8
19/01/1999,1200,27.2
19/01/1999,1800,33.6
20/01/1999,0,27.8
20/01/1999,1200,28.6
20/01/1999,1800,33.5
21/01/1999,0,26.6
21/01/1999,1200,27.5
21/01/1999,1800,26.6
22/01/1999,0,24.8
22/01/1999,1200,24.6
22/01/1999,1800,28.4
23/01/1999,0,22.4
23/01/1999,1200,23.6
23/01/1999,1800,29.4
24/01/1999,0,23
24/01/1999,1200,24.2
24/01/1999,1800,29.4
25/01/1999,0,24.2
25/01/1999,1200,23.6
25/01/1999,1800,29.4
26/01/1999,0,24.4
26/01/1999,1200,25.4
26/01/1999,1800,29
27/01/1999,0,22
27/01/1999,1200,21.8
27/01/1999,1800,25.5
28/01/1999,0,21
28/01/1999,1200,23.8
28/01/1999,1800,28.4
29/01/1999,0,23
29/01/1999,1200,23.8
29/01/1999,1800,28.6
30/01/1999,0,26
30/01/1999,1200,24.4
30/01/1999,1800,24.4
31/01/1999,0,21.8
31/01/1999,1200,21.6
31/01/1999,1800,24.5
01/02/1999,0,22.8
01/02/1999,1200,24.3
01/02/1999,1800,24
02/02/1999,0,21.9
02/02/1999,1200,24.4
02/02/1999,1800,30.3
03/02/1999,0,22.2
03/02/1999,1200,25.8
03/02/1999,1800,27.4
04/02/1999,0,22.8
04/02/1999,1200,23.2
04/02/1999,1800,29
05/02/1999,0,20.6
05/02/1999,1200,24.1
05/02/1999,1800,26
06/02/1999,0,22.8
06/02/1999,1200,24.8
06/02/1999,1800,24.3
07/02/1999,0,22.4
07/02/1999,1200,27.6
07/02/1999,1800,30.2
08/02/1999,0,26.4
08/02/1999,1200,22
08/02/1999,1800,26.2
09/02/1999,0,23.1
