Data,Hora,TempBulboSeco,UmidadeRelativa
01/01/2000,0,25.6,85
01/01/2000,1200,23.5,85
01/01/2000,1800,26.6,75
02/01/2000,0,23.4,94
02/01/2000,1200,23.2,96
02/01/2000,1800,23,95
03/01/2000,0,23.8,89
03/01/2000,1200,23.8,91
03/01/2000,1800,25.3,85
04/01/2000,0,23,87
04/01/2000,1200,24.2,87
04/01/2000,1800,30.6,60
05/01/2000,0,25.7,84
05/01/2000,1200,23.4,91
05/01/2000,1800,29.7,66
06/01/2000,0,25.5,85
06/01/2000,1200,26.2,74
06/01/2000,1800,31,54
07/01/2000,0,24.2,84
07/01/2000,1200,25.5,85
07/01/2000,1800,30.2,67
08/01/2000,0,23.4,94
08/01/2000,1200,24.8,89
08/01/2000,1800,22.5,93
09/01/2000,0,22.4,96
09/01/2000,1200,25.1,85
09/01/2000,1800,24.4,87
10/01/2000,0,22.6,95
10/01/2000,1200,24.9,80
10/01/2000,1800,31,54
11/01/2000,0,25.5,88
11/01/2000,1200,26.7,78
11/01/2000,1800,24.1,94
12/01/2000,0,22.3,96
12/01/2000,1200,23.5,91
12/01/2000,1800,31.1,69
13/01/2000,0,23.5,85
13/01/2000,1200,24.6,86
13/01/2000,1800,30.5,64
14/01/2000,0,24.3,85
14/01/2000,1200,23.1,93
14/01/2000,1800,28.9,70
15/01/2000,0,24.6,89
15/01/2000,1200,25.3,90
15/01/2000,1800,30.6,68
16/01/2000,0,26.6,91
16/01/2000,1200,25.1,85
16/01/2000,1800,27.5,77
17/01/2000,0,28,79
17/01/2000,1200,22.5,88
17/01/2000,1800,30.1,71
18/01/2000,0,28.3,77
18/01/2000,1200,26,79
18/01/2000,1800,31.6,62
19/01/2000,0,24.9,89
19/01/2000,1200,25.5,86
19/01/2000,1800,31.3,63
20/01/2000,0,26.4,83
20/01/2000,1200,27.4,79
20/01/2000,1800,31.2,61
21/01/2000,0,23.9,95
21/01/2000,1200,26.7,83
21/01/2000,1800,23.7,93
22/01/2000,0,24.5,87
22/01/2000,1200,24,91
22/01/2000,1800,26.6,85
23/01/2000,0,27,71
23/01/2000,1200,25.1,86
23/01/2000,1800,24.6,86
24/01/2000,0,27.5,71
24/01/2000,1200,24.9,84
24/01/2000,1800,25.3,88
25/01/2000,0,25.4,86
25/01/2000,1200,25.4,83
25/01/2000,1800,27.8,73
26/01/2000,0,26.2,77
26/01/2000,1200,21.7,96
26/01/2000,1800,31.3,63
27/01/2000,0,24.6,95
27/01/2000,1200,24.9,89
27/01/2000,1800,30.9,63
28/01/2000,0,26,91
28/01/2000,1200,27.9,73
28/01/2000,1800,30.9,65
29/01/2000,0,28.3,76
29/01/2000,1200,26.7,78
29/01/2000,1800,31.4,54
30/01/2000,0,29.1,70
30/01/2000,1200,27.1,81
30/01/2000,1800,33.3,48
31/01/2000,0,27.7,75
31/01/2000,1200,27.5,75
31/01/2000,1800,27.9,80
01/02/2000,0,29.4,71
01/02/2000,1200,26.9,80
01/02/2000,1800,33.5,51
02/02/2000,0,27.3,74
02/02/2000,1200,26.9,80
02/02/2000,1800,34.3,49
03/02/2000,0,26.7,82
03/02/2000,1200,27.7,
03/02/2000,1800,33.3,
04/02/2000,0,27.1,
04/02/2000,1200,26.7,77
04/02/2000,1800,27.3,75
05/02/2000,0,25.8,81
05/02/2000,1200,25.6,89
05/02/2000,1800,24.2,88
06/02/2000,0,22.8,93
06/02/2000,1200,25.1,91
06/02/2000,1800,30.6,59
07/02/2000,0,23.2,96
07/02/2000,1200,22.4,94
07/02/2000,1800,30,56
08/02/2000,0,25.1,86
08/02/2000,1200,26.5,72
08/02/2000,1800,30.9,58
09/02/2000,0,27,77
09/02/2000,1200,23.2,86
09/02/2000,1800,28.7,65
10/02/2000,0,25.3,92
10/02/2000,1200,24.5,92
10/02/2000,1800,25.5,89
11/02/2000,0,23.7,93
11/02/2000,1200,23.3,93
11/02/2000,1800,28.5,73
12/02/2000,0,25.3,92
12/02/2000,1200,24.9,87
12/02/2000,1800,29.7,65
13/02/2000,0,24.4,92
13/02/2000,1200,23.6,92
13/02/2000,1800,29.9,65
14/02/2000,0,23.5,92
14/02/2000,1200,23.9,90
14/02/2000,1800,30.5,64
15/02/2000,0,23.7,93
15/02/2000,1200,24.3,87
15/02/2000,1800,30.8,62
16/02/2000,0,24.7,93
16/02/2000,1200,22.3,95
16/02/2000,1800,23.3,93
17/02/2000,0,22.9,93
17/02/2000,1200,22.5,98
17/02/2000,1800,23.8,91
18/02/2000,0,23.7,94
18/02/2000,1200,20.5,98
18/02/2000,1800,25.7,77
19/02/2000,0,24.3,94
19/02/2000,1200,25.1,84
19/02/2000,1800,27.7,74
20/02/2000,0,24.3,95
20/02/2000,1200,23.5,94
20/02/2000,1800,32.5,49
21/02/2000,0,26.4,86
21/02/2000,1200,26.5,84
21/02/2000,1800,22.5,93
22/02/2000,0,22.3,93
22/02/2000,1200,23.6,82
22/02/2000,1800,28.3,73
23/02/2000,0,25.1,89
23/02/2000,1200,23.3,95
23/02/2000,1800,22.9,96
24/02/2000,0,21.9,98
24/02/2000,1200,22.9,94
24/02/2000,1800,32,56
25/02/2000,0,24,91
25/02/2000,1200,23.4,93
25/02/2000,1800,31.7,55
26/02/2000,0,25,88
26/02/2000,1200,26.1,83
26/02/2000,1800,24.1,94
27/02/2000,0,23.7,94
27/02/2000,1200,23.2,96
27/02/2000,1800,27.5,78
28/02/2000,0,25.5,76
28/02/2000,1200,25.5,87
28/02/2000,1800,29.5,67
29/02/2000,0,24.5,90
29/02/2000,1200,24,96
29/02/2000,1800,28.8,71
01/03/2000,0,23.4,90
01/03/2000,1200,25.6,81
01/03/2000,1800,26.7,85
02/03/2000,0,24.3,93
02/03/2000,1200,24.8,87
02/03/2000,1800,31,61
03/03/2000,0,24.2,93
03/03/2000,1200,25.2,90
03/03/2000,1800,27,83
04/03/2000,0,24,95
04/03/2000,1200,25.2,90
04/03/2000,1800,24.1,92
05/03/2000,0,25,87
05/03/2000,1200,25.5,88
05/03/2000,1800,31.4,62
06/03/2000,0,23.2,96
06/03/2000,1200,24.5,91
06/03/2000,1800,24.8,95
07/03/2000,0,23.5,97
07/03/2000,1200,25.2,88
07/03/2000,1800,31.9,60
08/03/2000,0,24.8,72
08/03/2000,1200,27.2,73
08/03/2000,1800,24.8,92
09/03/2000,0,23.8,99
09/03/2000,1200,25,85
09/03/2000,1800,23.8,93
10/03/2000,0,23.3,94
10/03/2000,1200,24.4,88
10/03/2000,1800,27.9,76
11/03/2000,0,24,93
11/03/2000,1200,24.9,88
11/03/2000,1800,27.2,78
12/03/2000,0,24.5,94
12/03/2000,1200,26,80
12/03/2000,1800,28.3,75
13/03/2000,0,23.9,97
13/03/2000,1200,24.5,90
13/03/2000,1800,25.5,90
14/03/2000,0,23.7,96
14/03/2000,1200,23.7,95
14/03/2000,1800,28.9,69
15/03/2000,0,22.5,94
15/03/2000,1200,24.9,87
15/03/2000,1800,29.4,61
16/03/2000,0,24.1,91
16/03/2000,1200,24.7,92
16/03/2000,1800,24.9,92
17/03/2000,0,23.5,93
17/03/2000,1200,25.5,83
17/03/2000,1800,27.9,77
18/03/2000,0,24.6,93
18/03/2000,1200,24.4,82
18/03/2000,1800,28.7,71
19/03/2000,0,24.9,87
19/03/2000,1200,22.5,97
19/03/2000,1800,27.2,78
20/03/2000,0,24.9,92
20/03/2000,1200,26.3,84
20/03/2000,1800,31.9,57
21/03/2000,0,26.5,86
21/03/2000,1200,26.4,78
21/03/2000,1800,26.3,85
22/03/2000,0,24.2,95
22/03/2000,1200,25.3,90
22/03/2000,1800,32.6,54
23/03/2000,0,28,74
23/03/2000,1200,29,59
23/03/2000,1800,33.4,46
24/03/2000,0,29.4,59
24/03/2000,1200,27.2,69
24/03/2000,1800,34,43
25/03/2000,0,30.2,54
25/03/2000,1200,28.5,59
25/03/2000,1800,34.2,43
26/03/2000,0,27.2,71
26/03/2000,1200,28.9,59
26/03/2000,1800,33.2,41
27/03/2000,0,26.5,72
27/03/2000,1200,25.2,80
27/03/2000,1800,32.7,50
28/03/2000,0,27,82
28/03/2000,1200,26.7,81
28/03/2000,1800,29.7,62
29/03/2000,0,23,91
29/03/2000,1200,25.7,78
29/03/2000,1800,30.3,63
30/03/2000,0,24.5,85
30/03/2000,1200,22.8,98
30/03/2000,1800,28.5,74
